日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(水),146,81852,561,818620,144440,674080,100
2日(木),0,0,0,0,0,0,0
3日(金),162,93388,576,938080,144890,788990,4200
4日(土),153,89218,583,892280,178320,713260,700
5日(日),0,0,0,0,0,0,0
6日(月),192,107917,562,1080270,196410,875730,8130
7日(火),141,72888,517,731980,128100,600780,3100
8日(水),167,94672,567,946720,148850,797870,0
9日(木),0,0,0,0,0,0,0
10日(金),191,106088,555,1063980,189830,873280,870
11日(土),123,69865,568,698750,122930,575720,100
12日(日),0,0,0,0,0,0,0
13日(月),214,121899,570,1220290,193170,1021260,5860
14日(火),154,83939,545,839490,136880,702510,100
15日(水),158,84350,534,846500,143530,699970,3000
16日(木),0,0,0,0,0,0,0
17日(金),228,121518,533,1218180,205520,994470,18190
18日(土),183,100295,548,1002950,178610,824340,0
19日(日),0,0,0,0,0,0,0
20日(月),0,0,0,0,0,0,0
21日(火),225,113497,504,1135070,185040,946530,3500
22日(水),162,89422,552,900720,154890,724660,21170
23日(木),0,0,0,0,0,0,0
24日(金),201,105451,525,1054510,152350,902160,0
25日(土),149,77438,520,774480,153150,621230,100
26日(日),0,0,0,0,0,0,0
27日(月),207,125192,605,1251920,245270,1012150,-5500
28日(火),146,77111,528,772310,132180,627950,12180
29日(水),175,93531,534,938310,158080,777230,3000
30日(木),0,0,0,0,0,0,0
31日(金),182,93646,515,936660,176740,765500,-5580
総数,3659,2003177,547,20062070,3469180,16519670,73220
平均,174.2,95389.4,26.1,955336.7,165199.0,786651.0,3486.7
前月,3759,2056278,547,20596910,3390510,17149920,56480
前月比,97.3,97.4,100.1,97.4,102.3,96.3,129.6
前年同月,3460,1914887,553,19192780,3191090,15907000,94690
前年同月比,105.8,104.6,98.9,104.5,108.7,103.9,77.3
