日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(木),0,0,0,0,0,0,0
2日(金),191,102755,538,1125750,85080,954820,85850
3日(土),163,75006,460,875660,92380,667300,115980
4日(日),0,0,0,0,0,0,0
5日(月),215,130526,607,1395860,125320,1179940,90600
6日(火),176,90296,513,992460,100710,802250,89500
7日(水),160,80069,500,892890,97210,703480,92200
8日(木),0,0,0,0,0,0,0
9日(金),182,111410,612,1226800,109630,1004470,112700
10日(土),175,85933,491,962430,85420,773910,103100
11日(日),0,0,0,0,0,0,0
12日(月),203,118718,585,1270780,96470,1090710,83600
13日(火),144,89124,619,954240,105410,785830,63000
14日(水),133,86742,652,890920,109980,757440,23500
15日(木),0,0,0,0,0,0,0
16日(金),178,103553,582,1091530,113950,910030,67550
17日(土),158,68253,432,815330,61950,632130,121250
18日(日),0,0,0,0,0,0,0
19日(月),194,140298,723,1439076,146350,1264870,27856
20日(火),163,101981,626,1047310,112900,906910,27500
21日(水),153,100714,658,1044840,109330,897810,37700
22日(木),0,0,0,0,0,0,0
23日(金),210,120590,574,1287900,117060,1086840,84000
24日(土),122,77855,638,810150,75860,700690,33600
25日(日),0,0,0,0,0,0,0
26日(月),240,180456,752,1810560,157120,1643340,10100
27日(火),207,141369,683,1425690,130750,1282940,12000
28日(水),94,65413,696,654130,62190,588270,3670
29日(木),0,0,0,0,0,0,0
30日(金),0,0,0,0,0,0,0
31日(土),0,0,0,0,0,0,0
総数,3461,2071061,598,22014306,2095070,18633980,1285256
平均,173.1,103553.1,29.9,1100715.3,104753.5,931699.0,64262.8
前月,3881,2032871,524,22695554,2281540,17999060,2414954
前月比,89.2,101.9,114.2,97.0,91.8,103.5,53.2
前年同月,1958,953639,487,10086450,1271550,8264100,550800
前年同月比,176.8,217.2,122.9,218.3,164.8,225.5,233.3
