日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(木),0,0,0,0,0,0,0
2日(金),114,65409,574,654010,98120,553570,2320
3日(土),89,45172,508,450830,72400,378430,0
4日(日),0,0,0,0,0,0,0
5日(月),111,82962,747,829620,103680,725940,0
6日(火),104,66082,635,661820,90620,570200,1000
7日(水),128,80500,629,805100,90880,714120,100
8日(木),0,0,0,0,0,0,0
9日(金),117,68774,588,693840,73750,613990,6100
10日(土),109,79533,730,795430,80660,714670,100
11日(日),0,0,0,0,0,0,0
12日(月),121,92962,768,929720,105770,823850,100
13日(火),91,48220,530,483500,68140,411840,3520
14日(水),103,77705,754,777050,85870,691180,0
15日(木),0,0,0,0,0,0,0
16日(金),137,93427,682,941870,117100,807550,17220
17日(土),95,56344,593,563440,81550,481890,0
18日(日),0,0,0,0,0,0,0
19日(月),0,0,0,0,0,0,0
20日(火),142,109316,770,1093260,104440,988720,100
21日(水),148,110133,744,1101330,108890,991930,510
22日(木),0,0,0,0,0,0,0
23日(金),0,0,0,0,0,0,0
24日(土),135,86777,643,865270,98770,769000,-2500
25日(日),0,0,0,0,0,0,0
26日(月),159,104702,659,1047020,145020,904320,-2320
27日(火),138,82169,595,822690,108200,713490,1000
28日(水),122,71105,583,711150,98300,596710,16140
29日(木),0,0,0,0,0,0,0
30日(金),105,57821,551,582210,89100,503150,-10040
総数,2268,1479113,652,14809160,1821260,12954550,33350
平均,119.4,77848.1,34.3,779429.5,95855.8,681818.4,1755.3
前月,2410,1763396,732,17644160,2048800,15577310,18050
前月比,94.1,83.9,89.1,83.9,88.9,83.2,184.8
前年同月,0,0,0,0,0,0,0
前年同月比,0.0,0.0,0.0,0.0,0.0,0.0,0.0
