日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(土),212,22,72,118,0,0,10.4,44.3
2日(日),0,0,0,0,0,0,0,0
3日(月),0,0,0,0,0,0,0,0
4日(火),304,36,122,146,0,0,11.8,52.0
5日(水),217,31,76,110,0,0,14.3,49.3
6日(木),0,0,0,0,0,0,0,0
7日(金),287,27,92,168,0,0,9.4,41.5
8日(土),201,11,63,127,0,0,5.5,36.8
9日(日),0,0,0,0,0,0,0,0
10日(月),280,34,109,137,0,0,12.1,51.1
11日(火),179,27,47,105,0,0,15.1,41.3
12日(水),218,15,81,122,0,0,6.9,44.0
13日(木),0,0,0,0,0,0,0,0
14日(金),214,27,67,120,0,0,12.6,43.9
15日(土),220,18,66,136,0,0,8.2,38.2
16日(日),0,0,0,0,0,0,0,0
17日(月),284,26,110,148,0,0,9.2,47.9
18日(火),172,21,54,97,0,0,12.2,43.6
19日(水),196,22,75,99,0,0,11.2,49.5
20日(木),0,0,0,0,0,0,0,0
21日(金),283,30,94,159,0,0,10.6,43.8
22日(土),179,21,40,118,0,0,11.7,34.1
23日(日),0,0,0,0,0,0,0,0
24日(月),0,0,0,0,0,0,0,0
25日(火),229,17,80,132,0,0,7.4,42.4
26日(水),231,20,77,134,0,0,8.7,42.0
27日(木),0,0,0,0,0,0,0,0
28日(金),238,31,76,131,0,0,13.0,45.0
29日(土),214,27,67,120,0,0,12.6,43.9
30日(日),0,0,0,0,0,0,0,0
総数,4358,463,1468,2427,0,0,10.6,44.3
平均,229.4,24.4,77.3,127.7,0.0,0.0,10.6,44.3
前月,4298,487,1502,2309,0,0,11.3,46.3
前月比,101.4,95.1,97.7,105.1,0.0,0.0,93.8,95.7
前年同月,5088,555,1510,3023,0,0,10.9,40.6
前年同月比,85.7,83.4,97.2,80.3,0.0,0.0,97.4,109.2
