月,総診療報酬 (点),レセ単価 (点),レセ枚数 (枚),初診 (点),再診 (点),管理 (点),在宅 (点),投薬 (点),注射 (点),処置 (点),手術 (点),麻酔 (点),検査 (点),画像 (点),リハ (点),精神 (点),療担 (点),病理･他 (点)
1月,1740356,694,2508,148,53,170,21,61,11,41,12,0,163,14,0,0,0,0
2月,2057635,648,3175,153,50,179,16,61,9,36,8,0,131,5,0,0,0,0
3月,2282834,619,3689,144,63,154,15,65,7,32,5,0,125,7,0,0,0,0
4月,2179951,616,3541,122,66,157,16,62,5,37,4,0,139,9,0,0,0,0
5月,2129196,640,3329,142,55,162,18,54,5,47,8,0,141,7,0,0,0,0
6月,1922776,680,2827,148,64,178,22,51,8,44,6,0,143,10,0,0,0,5
7月,1984464,713,2782,155,66,171,22,57,3,44,6,0,173,12,0,0,0,5
8月,1468581,674,2179,145,66,141,31,54,8,40,14,0,156,16,0,0,0,5
9月,1801906,680,2651,151,61,178,27,53,5,39,11,0,139,12,0,0,0,5
10月,2035629,696,2925,158,66,172,25,56,2,43,11,0,144,14,0,0,0,5
11月,2346528,718,3266,152,66,203,22,58,3,50,12,0,137,11,0,0,0,5
12月,2480501,743,3339,150,64,209,23,60,3,49,7,0,159,13,0,0,0,5
総数,24430357,675,36211,147,62,173,21,58,6,42,8,0,145,11,0,0,0,3
前年,23290564,750,31047,139,58,242,15,60,7,40,9,0,166,9,0,0,0,5
前年比,105,90,117,106,107,71,140,97,86,105,89,0,87,122,0,0,0,60
