日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(木),0,0,0,0,0,0,0,0
2日(金),114,27,13,74,0,0,23.7,35.1
3日(土),89,19,20,50,0,0,21.3,43.8
4日(日),0,0,0,0,0,0,0,0
5日(月),111,37,27,47,0,0,33.3,57.7
6日(火),104,28,22,54,0,0,26.9,48.1
7日(水),128,29,30,69,0,0,22.7,46.1
8日(木),0,0,0,0,0,0,0,0
9日(金),117,24,16,77,0,0,20.5,34.2
10日(土),109,27,29,53,0,0,24.8,51.4
11日(日),0,0,0,0,0,0,0,0
12日(月),121,33,32,56,0,0,27.3,53.7
13日(火),91,21,14,56,0,0,23.1,38.5
14日(水),103,30,23,50,0,0,29.1,51.5
15日(木),0,0,0,0,0,0,0,0
16日(金),137,30,29,78,0,0,21.9,43.1
17日(土),95,19,18,58,0,0,20.0,38.9
18日(日),0,0,0,0,0,0,0,0
19日(月),0,0,0,0,0,0,0,0
20日(火),142,31,34,77,0,0,21.8,45.8
21日(水),148,32,36,80,0,0,21.6,45.9
22日(木),0,0,0,0,0,0,0,0
23日(金),0,0,0,0,0,0,0,0
24日(土),135,30,32,73,0,0,22.2,45.9
25日(日),0,0,0,0,0,0,0,0
26日(月),159,49,26,84,0,0,30.8,47.2
27日(火),138,31,31,76,0,0,22.5,44.9
28日(水),122,37,23,62,0,0,30.3,49.2
29日(木),0,0,0,0,0,0,0,0
30日(金),105,28,18,59,0,0,26.7,43.8
総数,2268,562,473,1233,0,0,24.8,45.6
平均,119.4,29.6,24.9,64.9,0.0,0.0,24.8,45.6
前月,2410,662,347,1401,0,0,27.5,41.9
前月比,94.1,84.9,136.3,88.0,0.0,0.0,90.2,109.0
前年同月,0,0,0,0,0,0,0.0,0.0
前年同月比,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
