日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(土),180,96828,538,968380,132700,835580,100
2日(日),0,0,0,0,0,0,0
3日(月),258,143492,556,1436020,175590,1239020,21410
4日(火),145,81076,559,810860,127510,683250,100
5日(水),182,101979,560,1019890,157290,851430,11170
6日(木),0,0,0,0,0,0,0
7日(金),248,127453,514,1274630,208500,1066030,100
8日(土),150,76849,512,768690,132010,629870,6810
9日(日),0,0,0,0,0,0,0
10日(月),298,164370,552,1646800,232110,1416140,-1450
11日(火),0,0,0,0,0,0,0
12日(水),237,131451,555,1317010,194420,1122180,410
13日(木),0,0,0,0,0,0,0
14日(金),245,127865,522,1278650,171180,1111800,-4330
15日(土),175,96575,552,965950,148270,824850,-7170
16日(日),0,0,0,0,0,0,0
17日(月),318,168680,530,1690000,258690,1438960,-7650
18日(火),190,90341,475,904610,136020,762670,5920
19日(水),214,111442,521,1115520,196470,917950,1100
20日(木),0,0,0,0,0,0,0
21日(金),297,163428,550,1637380,275950,1365070,-3640
22日(土),173,99735,577,997350,172360,824990,0
23日(日),0,0,0,0,0,0,0
24日(月),0,0,0,0,0,0,0
25日(火),291,160660,552,1607900,237080,1368930,1890
26日(水),259,123509,477,1235290,164850,1077610,-7170
27日(木),0,0,0,0,0,0,0
28日(金),291,150489,517,1509090,275500,1229390,4200
総数,4151,2216222,534,22184020,3396500,18765720,21800
平均,230.6,123123.4,29.7,1232445.6,188694.4,1042540.0,1211.1
前月,3676,2030505,552,20379250,3479660,16799450,100140
前月比,112.9,109.1,96.7,108.9,97.6,111.7,21.8
前年同月,3924,2057623,524,20650830,2908180,17622450,120200
前年同月比,105.8,107.7,101.8,107.4,116.8,106.5,18.1
