日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(火),131,75722,578,758220,121390,635830,1000
2日(水),152,72959,480,743690,111230,607290,25170
3日(木),0,0,0,0,0,0,0
4日(金),217,114092,526,1142020,160800,970990,10230
5日(土),168,87314,520,876240,126530,738970,10740
6日(日),0,0,0,0,0,0,0
7日(月),238,114198,480,1230000,189820,946070,94110
8日(火),150,75058,500,764580,126660,623920,14000
9日(水),186,80513,433,874530,128890,657150,88490
10日(木),0,0,0,0,0,0,0
11日(金),223,83018,372,909480,112850,724720,71910
12日(土),174,74630,429,822400,127930,618370,76100
13日(日),0,0,0,0,0,0,0
14日(月),0,0,0,0,0,0,0
15日(火),271,142045,524,1436750,231040,1185570,20140
16日(水),218,106426,488,1118560,140860,917440,60260
17日(木),0,0,0,0,0,0,0
18日(金),251,114190,455,1234800,167580,987640,79580
19日(土),168,81623,486,875630,124520,699350,51760
20日(日),0,0,0,0,0,0,0
21日(月),288,125534,436,1343840,178770,1076570,88500
22日(火),181,83621,462,864310,123650,701690,38970
23日(水),171,90720,531,918200,185780,732290,130
24日(木),0,0,0,0,0,0,0
25日(金),236,106018,449,1141580,158950,917040,65590
26日(土),195,88607,454,954270,151040,744260,58970
27日(日),0,0,0,0,0,0,0
28日(月),276,128468,465,1376880,201480,1083200,92200
29日(火),183,86911,475,877210,132980,736130,8100
30日(水),223,103154,463,1094540,150270,880670,63600
31日(木),0,0,0,0,0,0,0
総数,4300,2034821,473,21357730,3153020,17185160,1019550
平均,204.8,96896.2,22.5,1017034.8,150143.8,818341.0,48550.0
前月,3451,1802085,522,18043250,2676863,15299267,67120
前月比,124.6,112.9,90.6,118.4,117.8,112.3,1519.0
前年同月,3946,2054914,521,21501840,2769100,17773600,959140
前年同月比,109.0,99.0,90.9,99.3,113.9,96.7,106.3
