日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(金),138,40,19,79,0,0,29.0,42.8
2日(土),109,47,7,55,0,0,43.1,49.5
3日(日),0,0,0,0,0,0,0,0
4日(月),115,43,18,54,0,0,37.4,53.0
5日(火),107,33,19,55,0,0,30.8,48.6
6日(水),120,49,16,55,0,0,40.8,54.2
7日(木),0,0,0,0,0,0,0,0
8日(金),164,71,28,65,0,0,43.3,60.4
9日(土),136,45,12,79,0,0,33.1,41.9
10日(日),0,0,0,0,0,0,0,0
11日(月),166,65,27,74,0,0,39.2,55.4
12日(火),100,32,10,58,0,0,32.0,42.0
13日(水),106,44,13,49,0,0,41.5,53.8
14日(木),0,0,0,0,0,0,0,0
15日(金),120,31,19,70,0,0,25.8,41.7
16日(土),128,37,23,68,0,0,28.9,46.9
17日(日),0,0,0,0,0,0,0,0
18日(月),128,40,20,68,0,0,31.3,46.9
19日(火),78,28,3,47,0,0,35.9,39.7
20日(水),110,34,14,62,0,0,30.9,43.6
21日(木),0,0,0,0,0,0,0,0
22日(金),130,43,15,72,0,0,33.1,44.6
23日(土),108,18,14,76,0,0,16.7,29.6
24日(日),0,0,0,0,0,0,0,0
25日(月),146,41,27,78,0,0,28.1,46.6
26日(火),117,44,9,64,0,0,37.6,45.3
27日(水),140,38,21,81,0,0,27.1,42.1
28日(木),0,0,0,0,0,0,0,0
29日(金),0,0,0,0,0,0,0,0
30日(土),0,0,0,0,0,0,0,0
総数,2466,823,334,1309,0,0,33.4,46.9
平均,123.3,41.1,16.7,65.5,0.0,0.0,33.4,46.9
前月,2540,1117,421,1002,0,0,44.0,60.6
前月比,97.1,73.7,79.3,130.6,0.0,0.0,75.9,77.5
前年同月,0,0,0,0,0,0,0.0,0.0
前年同月比,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
