日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(日),0,0,0,0,0,0,0,0
2日(月),376,41,196,139,0,0,10.9,63.0
3日(火),245,26,113,106,0,0,10.6,56.7
4日(水),320,40,158,122,0,0,12.5,61.9
5日(木),0,0,0,0,0,0,0,0
6日(金),317,34,136,147,0,0,10.7,53.6
7日(土),198,16,90,92,0,0,8.1,53.5
8日(日),0,0,0,0,0,0,0,0
9日(月),343,43,140,160,0,0,12.5,53.4
10日(火),224,31,106,87,0,0,13.8,61.2
11日(水),255,36,114,105,0,0,14.1,58.8
12日(木),0,0,0,0,0,0,0,0
13日(金),338,37,131,170,0,0,10.9,49.7
14日(土),202,11,56,135,0,0,5.4,33.2
15日(日),0,0,0,0,0,0,0,0
16日(月),333,48,144,141,0,0,14.4,57.7
17日(火),225,27,77,121,0,0,12.0,46.2
18日(水),286,40,101,145,0,0,14.0,49.3
19日(木),0,0,0,0,0,0,0,0
20日(金),0,0,0,0,0,0,0,0
21日(土),241,24,72,145,0,0,10.0,39.8
22日(日),0,0,0,0,0,0,0,0
23日(月),318,38,113,167,0,0,11.9,47.5
24日(火),210,25,73,112,0,0,11.9,46.7
25日(水),271,39,81,151,0,0,14.4,44.3
26日(木),0,0,0,0,0,0,0,0
27日(金),285,31,77,177,0,0,10.9,37.9
28日(土),220,30,68,122,0,0,13.6,44.5
29日(日),0,0,0,0,0,0,0,0
30日(月),242,24,65,153,0,0,9.9,36.8
31日(火),205,17,66,122,0,0,8.3,40.5
総数,5654,658,2177,2819,0,0,11.6,50.1
平均,269.2,31.3,103.7,134.2,0.0,0.0,11.6,50.1
前月,4001,438,1548,2015,0,0,10.9,49.6
前月比,141.3,150.2,140.6,139.9,0.0,0.0,106.3,101.0
前年同月,5432,648,1803,2981,0,0,11.9,45.1
前年同月比,104.1,101.5,120.7,94.6,0.0,0.0,97.6,111.1
