日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(日),0,0,0,0,0,0,0
2日(月),170,99619,586,996190,111730,884460,0
3日(火),130,76156,586,764060,108990,630980,24090
4日(水),163,101307,622,1013170,157620,855450,100
5日(木),0,0,0,0,0,0,0
6日(金),176,97414,553,974340,151990,839700,-17350
7日(土),126,74658,593,746580,106530,631670,8380
8日(日),0,0,0,0,0,0,0
9日(月),0,0,0,0,0,0,0
10日(火),218,122256,561,1230660,194580,1027050,9030
11日(水),178,94456,531,956660,127500,812610,16550
12日(木),0,0,0,0,0,0,0
13日(金),194,106234,548,1062340,164330,898010,0
14日(土),169,90835,537,908450,115710,792640,100
15日(日),0,0,0,0,0,0,0
16日(月),182,105906,582,1060060,136350,922710,1000
17日(火),213,99746,468,1085660,137360,868480,79820
18日(水),200,90207,451,998170,116040,779350,102780
19日(木),0,0,0,0,0,0,0
20日(金),208,99460,478,1056600,129030,865570,62000
21日(土),197,98758,501,1099180,127240,860340,111600
22日(日),0,0,0,0,0,0,0
23日(月),207,106468,514,1126980,117460,952190,57330
24日(火),215,102522,477,1128320,131810,893410,103100
25日(水),205,97564,476,1067340,128480,851850,87010
26日(木),0,0,0,0,0,0,0
27日(金),203,105229,518,1106890,127530,924760,54600
28日(土),206,93258,453,1035880,124830,807750,103300
29日(日),0,0,0,0,0,0,0
30日(月),197,104102,528,1105020,141020,900000,64000
31日(火),189,88759,470,979290,112970,774620,91700
総数,3946,2054914,521,21501840,2769100,17773600,959140
平均,187.9,97853.0,24.8,1023897.1,131861.9,846361.9,45673.3
前月,3191,1930510,605,19360600,2795150,16498480,66970
前月比,123.7,106.4,86.1,111.1,99.1,107.7,1432.2
前年同月,3081,1773370,576,18881210,2059980,15667840,1153390
前年同月比,128.1,115.9,90.5,113.9,134.4,113.4,83.2
