日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(日),0,0,0,0,0,0,0,0
2日(月),253,33,92,128,0,0,13.0,49.4
3日(火),133,23,45,65,0,0,17.3,51.1
4日(水),172,27,55,90,0,0,15.7,47.7
5日(木),0,0,0,0,0,0,0,0
6日(金),182,19,48,115,0,0,10.4,36.8
7日(土),158,23,44,91,0,0,14.6,42.4
8日(日),0,0,0,0,0,0,0,0
9日(月),269,41,72,156,0,0,15.2,42.0
10日(火),139,17,48,74,0,0,12.2,46.8
11日(水),180,29,53,98,0,0,16.1,45.6
12日(木),0,0,0,0,0,0,0,0
13日(金),202,32,69,101,0,0,15.8,50.0
14日(土),159,23,40,96,0,0,14.5,39.6
15日(日),0,0,0,0,0,0,0,0
16日(月),193,34,55,104,0,0,17.6,46.1
17日(火),128,16,35,77,0,0,12.5,39.8
18日(水),137,20,39,78,0,0,14.6,43.1
19日(木),0,0,0,0,0,0,0,0
20日(金),158,21,48,89,0,0,13.3,43.7
21日(土),125,15,32,78,0,0,12.0,37.6
22日(日),0,0,0,0,0,0,0,0
23日(月),212,35,76,101,0,0,16.5,52.4
24日(火),138,15,32,91,0,0,10.9,34.1
25日(水),165,32,35,98,0,0,19.4,40.6
26日(木),0,0,0,0,0,0,0,0
27日(金),157,16,48,93,0,0,10.2,40.8
28日(土),164,25,40,99,0,0,15.2,39.6
29日(日),0,0,0,0,0,0,0,0
30日(月),216,35,54,127,0,0,16.2,41.2
総数,3640,531,1060,2049,0,0,14.6,43.7
平均,173.3,25.3,50.5,97.6,0.0,0.0,14.6,43.7
前月,3685,549,1101,2035,0,0,14.9,44.8
前月比,98.8,96.7,96.3,100.7,0.0,0.0,97.9,97.6
前年同月,3812,584,950,2278,0,0,15.3,40.2
前年同月比,95.5,90.9,111.6,89.9,0.0,0.0,95.2,108.6
