日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(土),176,91212,518,915720,101300,810820,3600
2日(日),0,0,0,0,0,0,0
3日(月),286,146581,513,1467110,202610,1269290,-4790
4日(火),162,80825,499,808250,116130,685590,6530
5日(水),184,94423,513,945330,141920,802310,1100
6日(木),0,0,0,0,0,0,0
7日(金),240,112207,468,1122170,137670,979640,4860
8日(土),176,83689,476,860390,116000,720890,23500
9日(日),0,0,0,0,0,0,0
10日(月),252,135988,540,1362080,182710,1177170,2200
11日(火),151,72747,482,727470,97530,625160,4780
12日(水),179,88035,492,884450,135070,745280,4100
13日(木),0,0,0,0,0,0,0
14日(金),213,102049,479,1020590,150520,869970,100
15日(土),152,70857,466,709570,111190,594980,3400
16日(日),0,0,0,0,0,0,0
17日(月),197,101982,518,1021120,161970,862610,-3460
18日(火),138,70741,513,707510,96540,610870,100
19日(水),165,72944,442,731440,111250,618190,2000
20日(木),0,0,0,0,0,0,0
21日(金),201,95835,477,958350,145260,813090,0
22日(土),144,81374,565,815040,135320,678420,1300
23日(日),0,0,0,0,0,0,0
24日(月),183,97973,535,979730,173780,808350,-2400
25日(火),147,76386,520,766160,126150,637710,2300
26日(水),159,78337,493,784470,112420,670350,1700
27日(木),0,0,0,0,0,0,0
28日(金),168,83146,495,834660,118840,719150,-3330
29日(土),140,83964,600,839640,146170,698250,-4780
30日(日),0,0,0,0,0,0,0
総数,3813,1921295,504,19261250,2820350,16398090,42810
平均,181.6,91490.2,24.0,917202.4,134302.4,780861.4,2038.6
前月,4301,2129063,495,21346750,2994840,18276720,75190
前月比,88.7,90.2,101.8,90.2,94.2,89.7,56.9
前年同月,3598,2055935,571,20627150,2745560,17799770,81820
前年同月比,106.0,93.5,88.2,93.4,102.7,92.1,52.3
