日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(水),226,133748,592,1337580,169620,1167860,100
2日(木),0,0,0,0,0,0,0
3日(金),269,140605,523,1406050,214200,1187750,4100
4日(土),219,123933,566,1259330,151130,1083670,24530
5日(日),0,0,0,0,0,0,0
6日(月),234,129120,552,1291200,138880,1161210,-8890
7日(火),215,123048,572,1230480,142400,1088080,0
8日(水),225,117774,523,1182420,158050,1020290,4080
9日(木),0,0,0,0,0,0,0
10日(金),228,117768,517,1176340,166990,1005230,4120
11日(土),203,101919,502,1019190,133430,881180,4580
12日(日),0,0,0,0,0,0,0
13日(月),217,135627,625,1356270,169050,1182570,4650
14日(火),197,106349,540,1064590,149120,919020,-3550
15日(水),209,112156,537,1120880,157390,958310,5180
16日(木),0,0,0,0,0,0,0
17日(金),220,118246,537,1182460,152990,1037650,-8180
18日(土),175,100475,574,1005750,136540,868210,1000
19日(日),0,0,0,0,0,0,0
20日(月),224,126274,564,1265240,152370,1106200,6670
21日(火),0,0,0,0,0,0,0
22日(水),227,126822,559,1268220,160716,1107264,240
23日(木),0,0,0,0,0,0,0
24日(金),181,99976,552,999760,129340,866340,4080
25日(土),122,55986,459,559860,93910,465950,0
26日(日),0,0,0,0,0,0,0
27日(月),182,101951,560,1018760,154060,864700,0
28日(火),168,80480,479,804800,108990,699890,-4080
29日(水),190,105142,553,1050700,132020,918180,500
30日(木),0,0,0,0,0,0,0
31日(金),221,101612,460,1016320,120230,900250,-4160
総数,4352,2359011,542,23616200,3091426,20489804,34970
平均,207.2,112333.9,25.8,1124581.0,147210.8,975705.0,1665.2
前月,3090,1862700,603,18683390,2229630,16391600,62160
前月比,140.8,126.6,89.9,126.4,138.7,125.0,56.3
前年同月,2540,1511009,595,15130010,1846790,13258780,24440
前年同月比,171.3,156.1,91.1,156.1,167.4,154.5,143.1
