日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(木),0,0,0,0,0,0,0,0
2日(金),161,40,34,87,0,0,24.8,46.0
3日(土),173,50,34,89,0,0,28.9,48.6
4日(日),0,0,0,0,0,0,0,0
5日(月),202,54,52,96,0,0,26.7,52.5
6日(火),178,32,49,97,0,0,18.0,45.5
7日(水),201,40,42,119,0,0,19.9,40.8
8日(木),0,0,0,0,0,0,0,0
9日(金),203,47,41,115,0,0,23.2,43.3
10日(土),172,38,40,94,0,0,22.1,45.3
11日(日),0,0,0,0,0,0,0,0
12日(月),199,35,48,116,0,0,17.6,41.7
13日(火),144,34,23,87,0,0,23.6,39.6
14日(水),162,35,37,90,0,0,21.6,44.4
15日(木),0,0,0,0,0,0,0,0
16日(金),184,40,32,112,0,0,21.7,39.1
17日(土),137,25,24,88,0,0,18.2,35.8
18日(日),0,0,0,0,0,0,0,0
19日(月),165,27,35,103,0,0,16.4,37.6
20日(火),186,36,36,114,0,0,19.4,38.7
21日(水),154,35,26,93,0,0,22.7,39.6
22日(木),0,0,0,0,0,0,0,0
23日(金),193,40,35,118,0,0,20.7,38.9
24日(土),161,42,22,97,0,0,26.1,39.8
25日(日),0,0,0,0,0,0,0,0
26日(月),173,38,41,94,0,0,22.0,45.7
27日(火),132,31,29,72,0,0,23.5,45.5
28日(水),141,25,28,88,0,0,17.7,37.6
29日(木),0,0,0,0,0,0,0,0
30日(金),177,31,30,116,0,0,17.5,34.5
総数,3598,775,738,2085,0,0,21.5,42.1
平均,171.3,36.9,35.1,99.3,0.0,0.0,21.5,42.1
前月,3936,871,744,2321,0,0,22.1,41.0
前月比,91.4,89.0,99.2,89.8,0.0,0.0,97.3,102.5
前年同月,1988,692,252,1044,0,0,34.8,47.5
前年同月比,181.0,112.0,292.9,199.7,0.0,0.0,61.9,88.6
