日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(土),141,80937,574,809470,159250,650120,100
2日(日),0,0,0,0,0,0,0
3日(月),184,101831,553,1018310,188090,825460,4760
4日(火),187,97998,524,989680,162860,808690,18130
5日(水),149,79532,534,808320,161110,634210,13000
6日(木),0,0,0,0,0,0,0
7日(金),191,103607,542,1039370,183070,844500,11800
8日(土),152,79037,520,790370,147050,643320,0
9日(日),0,0,0,0,0,0,0
10日(月),289,164382,569,1647220,287250,1356570,3400
11日(火),0,0,0,0,0,0,0
12日(水),0,0,0,0,0,0,0
13日(木),0,0,0,0,0,0,0
14日(金),0,0,0,0,0,0,0
15日(土),0,0,0,0,0,0,0
16日(日),0,0,0,0,0,0,0
17日(月),237,142680,602,1429900,261400,1157900,10600
18日(火),182,102656,564,1026760,169590,864470,-7300
19日(水),150,81757,545,817670,119350,698220,100
20日(木),0,0,0,0,0,0,0
21日(金),179,102469,572,1024690,178840,845850,0
22日(土),135,82945,614,829550,176500,652950,100
23日(日),0,0,0,0,0,0,0
24日(月),205,103448,505,1038880,196860,837380,4640
25日(火),153,80168,524,803680,149890,637310,16480
26日(水),152,81834,538,818340,125290,693050,0
27日(木),0,0,0,0,0,0,0
28日(金),159,99797,628,999170,171840,831130,-3800
29日(土),140,75360,538,753700,143910,609280,510
30日(日),0,0,0,0,0,0,0
31日(月),201,119538,595,1196580,232200,971680,-7300
総数,3186,1779976,559,17841660,3214350,14562090,65220
平均,177.0,98887.6,31.0,991203.3,178575.0,809005.0,3623.3
前月,3659,2003177,547,20062070,3469180,16519670,73220
前月比,87.1,88.9,102.0,88.9,92.7,88.2,89.1
前年同月,3133,1741147,556,17439690,2958620,14414940,66130
前年同月比,101.7,102.2,100.5,102.3,108.6,101.0,98.6
