日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(火),131,23,48,60,0,0,17.6,54.2
2日(水),152,25,48,79,0,0,16.4,48.0
3日(木),0,0,0,0,0,0,0,0
4日(金),217,30,71,116,0,0,13.8,46.5
5日(土),168,22,41,105,0,0,13.1,37.5
6日(日),0,0,0,0,0,0,0,0
7日(月),238,43,73,122,0,0,18.1,48.7
8日(火),150,27,45,78,0,0,18.0,48.0
9日(水),186,33,48,105,0,0,17.7,43.5
10日(木),0,0,0,0,0,0,0,0
11日(金),223,21,62,140,0,0,9.4,37.2
12日(土),174,14,71,89,0,0,8.0,48.9
13日(日),0,0,0,0,0,0,0,0
14日(月),0,0,0,0,0,0,0,0
15日(火),271,37,81,153,0,0,13.7,43.5
16日(水),218,27,69,122,0,0,12.4,44.0
17日(木),0,0,0,0,0,0,0,0
18日(金),251,41,75,135,0,0,16.3,46.2
19日(土),168,18,58,92,0,0,10.7,45.2
20日(日),0,0,0,0,0,0,0,0
21日(月),288,26,102,160,0,0,9.0,44.4
22日(火),181,27,49,105,0,0,14.9,42.0
23日(水),171,32,44,95,0,0,18.7,44.4
24日(木),0,0,0,0,0,0,0,0
25日(金),236,23,63,150,0,0,9.7,36.4
26日(土),195,17,44,134,0,0,8.7,31.3
27日(日),0,0,0,0,0,0,0,0
28日(月),276,35,79,162,0,0,12.7,41.3
29日(火),183,16,52,115,0,0,8.7,37.2
30日(水),223,21,62,140,0,0,9.4,37.2
31日(木),0,0,0,0,0,0,0,0
総数,4300,558,1285,2457,0,0,13.0,42.9
平均,204.8,26.6,61.2,117.0,0.0,0.0,13.0,42.9
前月,3451,539,989,1923,0,0,15.6,44.3
前月比,124.6,103.5,129.9,127.8,0.0,0.0,83.1,96.8
前年同月,3946,616,1194,2136,0,0,15.6,45.9
前年同月比,109.0,90.6,107.6,115.0,0.0,0.0,83.1,93.4
