日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(土),161,87315,542,873250,123840,742190,7220
2日(日),0,0,0,0,0,0,0
3日(月),193,106899,554,1069090,164480,904510,100
4日(火),188,81959,436,819790,124520,695070,200
5日(水),167,77765,466,778650,117275,655985,5390
6日(木),0,0,0,0,0,0,0
7日(金),176,99249,564,992490,159460,820900,12130
8日(土),122,55843,458,558430,91420,467010,0
9日(日),0,0,0,0,0,0,0
10日(月),178,92278,518,923380,99685,815325,8370
11日(火),153,77051,504,770510,98900,667310,4300
12日(水),151,85405,566,855050,123480,730570,1000
13日(木),0,0,0,0,0,0,0
14日(金),182,96546,530,965960,115450,849360,1150
15日(土),152,89766,591,897660,106320,804060,-12720
16日(日),0,0,0,0,0,0,0
17日(月),196,114556,584,1145560,131600,1013960,0
18日(火),181,109822,607,1099220,116900,974880,7440
19日(水),179,107319,600,1073190,120431,952759,0
20日(木),0,0,0,0,0,0,0
21日(金),197,110617,562,1107170,156230,944480,6460
22日(土),170,87938,517,879180,103850,781670,-6340
23日(日),0,0,0,0,0,0,0
24日(月),230,138506,602,1385060,144870,1236070,4120
25日(火),202,112372,556,1125720,140180,988280,-2740
26日(水),216,113464,525,1134640,144705,979485,10450
27日(木),0,0,0,0,0,0,0
28日(金),239,143591,601,1437010,172790,1263120,1100
29日(土),0,0,0,0,0,0,0
30日(日),0,0,0,0,0,0,0
総数,3633,1988261,547,19891010,2556386,17286994,47630
平均,181.7,99413.1,27.4,994550.5,127819.3,864349.7,2381.5
前月,4352,2359011,542,23616200,3091426,20489804,34970
前月比,83.5,84.3,101.0,84.2,82.7,84.4,136.2
前年同月,2466,1401208,568,14031280,1805340,12180400,45540
前年同月比,147.3,141.9,96.3,141.8,141.6,141.9,104.6
