日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(土),131,16,35,80,0,0,12.2,38.9
2日(日),0,0,0,0,0,0,0,0
3日(月),180,38,35,107,0,0,21.1,40.6
4日(火),148,26,33,89,0,0,17.6,39.9
5日(水),156,31,32,93,0,0,19.9,40.4
6日(木),0,0,0,0,0,0,0,0
7日(金),169,31,34,104,0,0,18.3,38.5
8日(土),121,17,28,76,0,0,14.0,37.2
9日(日),0,0,0,0,0,0,0,0
10日(月),177,31,33,113,0,0,17.5,36.2
11日(火),151,27,33,91,0,0,17.9,39.7
12日(水),159,25,33,101,0,0,15.7,36.5
13日(木),0,0,0,0,0,0,0,0
14日(金),193,31,42,120,0,0,16.1,37.8
15日(土),141,24,39,78,0,0,17.0,44.7
16日(日),0,0,0,0,0,0,0,0
17日(月),0,0,0,0,0,0,0,0
18日(火),192,35,49,108,0,0,18.2,43.8
19日(水),177,40,35,102,0,0,22.6,42.4
20日(木),0,0,0,0,0,0,0,0
21日(金),198,38,44,116,0,0,19.2,41.4
22日(土),127,24,17,86,0,0,18.9,32.3
23日(日),0,0,0,0,0,0,0,0
24日(月),211,40,45,126,0,0,19.0,40.3
25日(火),175,34,46,95,0,0,19.4,45.7
26日(水),182,41,42,99,0,0,22.5,45.6
27日(木),0,0,0,0,0,0,0,0
28日(金),163,28,29,106,0,0,17.2,35.0
29日(土),145,25,25,95,0,0,17.2,34.5
30日(日),0,0,0,0,0,0,0,0
31日(月),174,33,39,102,0,0,19.0,41.4
総数,3470,635,748,2087,0,0,18.3,39.9
平均,165.2,30.2,35.6,99.4,0.0,0.0,18.3,39.9
前月,3598,775,738,2085,0,0,21.5,42.1
前月比,96.4,81.9,101.4,100.1,0.0,0.0,85.0,94.8
前年同月,2226,587,347,1292,0,0,26.4,42.0
前年同月比,155.9,108.2,215.6,161.5,0.0,0.0,69.4,95.0
