日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(金),325,39,78,208,0,0,12.0,36.0
2日(土),189,21,44,124,0,0,11.1,34.4
3日(日),0,0,0,0,0,0,0,0
4日(月),0,0,0,0,0,0,0,0
5日(火),0,0,0,0,0,0,0,0
6日(水),0,0,0,0,0,0,0,0
7日(木),0,0,0,0,0,0,0,0
8日(金),267,41,74,152,0,0,15.4,43.1
9日(土),234,21,60,153,0,0,9.0,34.6
10日(日),0,0,0,0,0,0,0,0
11日(月),253,32,78,143,0,0,12.6,43.5
12日(火),209,40,53,116,0,0,19.1,44.5
13日(水),188,23,53,112,0,0,12.2,40.4
14日(木),0,0,0,0,0,0,0,0
15日(金),153,26,31,96,0,0,17.0,37.3
16日(土),184,23,44,117,0,0,12.5,36.4
17日(日),0,0,0,0,0,0,0,0
18日(月),272,33,82,157,0,0,12.1,42.3
19日(火),216,31,64,121,0,0,14.4,44.0
20日(水),206,29,63,114,0,0,14.1,44.7
21日(木),0,0,0,0,0,0,0,0
22日(金),195,28,58,109,0,0,14.4,44.1
23日(土),180,21,55,104,0,0,11.7,42.2
24日(日),0,0,0,0,0,0,0,0
25日(月),231,20,75,136,0,0,8.7,41.1
26日(火),151,21,48,82,0,0,13.9,45.7
27日(水),181,18,58,105,0,0,9.9,42.0
28日(木),0,0,0,0,0,0,0,0
29日(金),194,25,46,123,0,0,12.9,36.6
30日(土),163,17,51,95,0,0,10.4,41.7
31日(日),0,0,0,0,0,0,0,0
総数,3991,509,1115,2367,0,0,12.8,40.7
平均,210.1,26.8,58.7,124.6,0.0,0.0,12.8,40.7
前月,4329,511,1238,2580,0,0,11.8,40.4
前月比,92.2,99.6,90.1,91.7,0.0,0.0,108.0,100.7
前年同月,3685,549,1101,2035,0,0,14.9,44.8
前年同月比,108.3,92.7,101.3,116.3,0.0,0.0,85.6,90.9
