日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(土),102,16,26,60,0,0,15.7,41.2
2日(日),0,0,0,0,0,0,0,0
3日(月),130,41,35,54,0,0,31.5,58.5
4日(火),111,24,30,57,0,0,21.6,48.6
5日(水),99,24,19,56,0,0,24.2,43.4
6日(木),0,0,0,0,0,0,0,0
7日(金),127,26,27,74,0,0,20.5,41.7
8日(土),103,24,21,58,0,0,23.3,43.7
9日(日),0,0,0,0,0,0,0,0
10日(月),0,0,0,0,0,0,0,0
11日(火),184,44,45,95,0,0,23.9,48.4
12日(水),69,28,14,27,0,0,40.6,60.9
13日(木),0,0,0,0,0,0,0,0
14日(金),179,46,41,92,0,0,25.7,48.6
15日(土),131,27,26,78,0,0,20.6,40.5
16日(日),0,0,0,0,0,0,0,0
17日(月),187,31,54,102,0,0,16.6,45.5
18日(火),158,35,60,63,0,0,22.2,60.1
19日(水),180,33,48,99,0,0,18.3,45.0
20日(木),0,0,0,0,0,0,0,0
21日(金),181,35,55,91,0,0,19.3,49.7
22日(土),134,23,48,63,0,0,17.2,53.0
23日(日),0,0,0,0,0,0,0,0
24日(月),196,45,56,95,0,0,23.0,51.5
25日(火),156,27,42,87,0,0,17.3,44.2
26日(水),157,31,50,76,0,0,19.7,51.6
27日(木),0,0,0,0,0,0,0,0
28日(金),186,46,45,95,0,0,24.7,48.9
29日(土),140,25,42,73,0,0,17.9,47.9
30日(日),0,0,0,0,0,0,0,0
31日(月),171,42,52,77,0,0,24.6,55.0
総数,3081,673,836,1572,0,0,21.8,49.0
平均,146.7,32.0,39.8,74.9,0.0,0.0,21.8,49.0
前月,2268,562,473,1233,0,0,24.8,45.6
前月比,135.8,119.8,176.7,127.5,0.0,0.0,88.2,107.3
前年同月,1481,919,172,390,0,0,62.1,73.7
前年同月比,208.0,73.2,486.0,403.1,0.0,0.0,35.2,66.5
