日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(日),0,0,0,0,0,0,0,0
2日(月),171,65,18,88,0,0,38.0,48.5
3日(火),0,0,0,0,0,0,0,0
4日(水),0,0,0,0,0,0,0,0
5日(木),0,0,0,0,0,0,0,0
6日(金),145,54,19,72,0,0,37.2,50.3
7日(土),92,31,8,53,0,0,33.7,42.4
8日(日),0,0,0,0,0,0,0,0
9日(月),134,40,14,80,0,0,29.9,40.3
10日(火),89,24,11,54,0,0,27.0,39.3
11日(水),104,39,18,47,0,0,37.5,54.8
12日(木),0,0,0,0,0,0,0,0
13日(金),97,22,8,67,0,0,22.7,30.9
14日(土),102,37,13,52,0,0,36.3,49.0
15日(日),0,0,0,0,0,0,0,0
16日(月),119,32,17,70,0,0,26.9,41.2
17日(火),119,43,16,60,0,0,36.1,49.6
18日(水),123,45,15,63,0,0,36.6,48.8
19日(木),0,0,0,0,0,0,0,0
20日(金),138,45,9,84,0,0,32.6,39.1
21日(土),128,50,20,58,0,0,39.1,54.7
22日(日),0,0,0,0,0,0,0,0
23日(月),155,59,16,80,0,0,38.1,48.4
24日(火),106,40,17,49,0,0,37.7,53.8
25日(水),138,42,18,78,0,0,30.4,43.5
26日(木),0,0,0,0,0,0,0,0
27日(金),147,70,10,67,0,0,47.6,54.4
28日(土),99,39,11,49,0,0,39.4,50.5
29日(日),0,0,0,0,0,0,0,0
30日(月),139,51,17,71,0,0,36.7,48.9
31日(火),122,53,5,64,0,0,43.4,47.5
総数,2467,881,280,1306,0,0,35.7,47.1
平均,123.3,44.0,14.0,65.3,0.0,0.0,35.7,47.1
前月,2466,823,334,1309,0,0,33.4,46.9
前月比,100.0,107.0,83.8,99.8,0.0,0.0,107.0,100.3
前年同月,0,0,0,0,0,0,0.0,0.0
前年同月比,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
