日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(水),226,70,76,80,0,0,31.0,64.6
2日(木),0,0,0,0,0,0,0,0
3日(金),269,84,80,105,0,0,31.2,61.0
4日(土),219,45,75,99,0,0,20.5,54.8
5日(日),0,0,0,0,0,0,0,0
6日(月),234,50,74,110,0,0,21.4,53.0
7日(火),215,63,69,83,0,0,29.3,61.4
8日(水),225,55,82,88,0,0,24.4,60.9
9日(木),0,0,0,0,0,0,0,0
10日(金),228,66,63,99,0,0,28.9,56.6
11日(土),204,52,64,88,0,0,25.5,56.9
12日(日),0,0,0,0,0,0,0,0
13日(月),217,60,69,88,0,0,27.6,59.4
14日(火),197,47,57,93,0,0,23.9,52.8
15日(水),209,53,41,115,0,0,25.4,45.0
16日(木),0,0,0,0,0,0,0,0
17日(金),220,54,36,130,0,0,24.5,40.9
18日(土),175,34,37,104,0,0,19.4,40.6
19日(日),0,0,0,0,0,0,0,0
20日(月),224,57,46,121,0,0,25.4,46.0
21日(火),0,0,0,0,0,0,0,0
22日(水),227,50,49,128,0,0,22.0,43.6
23日(木),0,0,0,0,0,0,0,0
24日(金),181,40,45,96,0,0,22.1,47.0
25日(土),122,24,27,71,0,0,19.7,41.8
26日(日),0,0,0,0,0,0,0,0
27日(月),182,56,35,91,0,0,30.8,50.0
28日(火),168,33,31,104,0,0,19.6,38.1
29日(水),190,45,42,103,0,0,23.7,45.8
30日(木),0,0,0,0,0,0,0,0
31日(金),221,38,51,132,0,0,17.2,40.3
総数,4353,1076,1149,2128,0,0,24.7,51.1
平均,207.3,51.2,54.7,101.3,0.0,0.0,24.7,51.1
前月,3090,677,821,1592,0,0,21.9,48.5
前月比,140.9,158.9,140.0,133.7,0.0,0.0,112.8,105.4
前年同月,2540,1117,421,1002,0,0,44.0,60.6
前年同月比,171.4,96.3,272.9,212.4,0.0,0.0,56.2,84.4
