日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(火),133,26,39,68,0,0,19.5,48.9
2日(水),156,24,29,103,0,0,15.4,34.0
3日(木),0,0,0,0,0,0,0,0
4日(金),168,32,23,113,0,0,19.0,32.7
5日(土),120,23,19,78,0,0,19.2,35.0
6日(日),0,0,0,0,0,0,0,0
7日(月),199,34,43,122,0,0,17.1,38.7
8日(火),155,33,30,92,0,0,21.3,40.6
9日(水),174,36,41,97,0,0,20.7,44.3
10日(木),0,0,0,0,0,0,0,0
11日(金),0,0,0,0,0,0,0,0
12日(土),0,0,0,0,0,0,0,0
13日(日),0,0,0,0,0,0,0,0
14日(月),0,0,0,0,0,0,0,0
15日(火),0,0,0,0,0,0,0,0
16日(水),0,0,0,0,0,0,0,0
17日(木),0,0,0,0,0,0,0,0
18日(金),201,44,50,107,0,0,21.9,46.8
19日(土),123,27,26,70,0,0,22.0,43.1
20日(日),0,0,0,0,0,0,0,0
21日(月),167,39,46,82,0,0,23.4,50.9
22日(火),122,22,30,70,0,0,18.0,42.6
23日(水),128,29,32,67,0,0,22.7,47.7
24日(木),0,0,0,0,0,0,0,0
25日(金),173,28,49,96,0,0,16.2,44.5
26日(土),118,21,33,64,0,0,17.8,45.8
27日(日),0,0,0,0,0,0,0,0
28日(月),160,35,45,80,0,0,21.9,50.0
29日(火),110,26,26,58,0,0,23.6,47.3
30日(水),142,24,28,90,0,0,16.9,36.6
31日(木),0,0,0,0,0,0,0,0
総数,2549,503,589,1457,0,0,19.7,42.8
平均,149.9,29.6,34.6,85.7,0.0,0.0,19.7,42.8
前月,3470,635,748,2087,0,0,18.3,39.9
前月比,73.5,79.2,78.7,69.8,0.0,0.0,107.8,107.5
前年同月,2410,662,347,1401,0,0,27.5,41.9
前年同月比,105.8,76.0,169.7,104.0,0.0,0.0,71.8,102.3
