日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(金),175,26,48,101,0,0,14.9,42.3
2日(土),133,27,34,72,0,0,20.3,45.9
3日(日),0,0,0,0,0,0,0,0
4日(月),163,28,40,95,0,0,17.2,41.7
5日(火),133,29,40,64,0,0,21.8,51.9
6日(水),135,25,34,76,0,0,18.5,43.7
7日(木),0,0,0,0,0,0,0,0
8日(金),165,35,41,89,0,0,21.2,46.1
9日(土),118,24,22,72,0,0,20.3,39.0
10日(日),0,0,0,0,0,0,0,0
11日(月),168,35,38,95,0,0,20.8,43.5
12日(火),139,26,55,58,0,0,18.7,58.3
13日(水),159,30,52,77,0,0,18.9,51.6
14日(木),0,0,0,0,0,0,0,0
15日(金),183,21,52,110,0,0,11.5,39.9
16日(土),151,24,37,90,0,0,15.9,40.4
17日(日),0,0,0,0,0,0,0,0
18日(月),0,0,0,0,0,0,0,0
19日(火),199,40,52,107,0,0,20.1,46.2
20日(水),178,26,48,104,0,0,14.6,41.6
21日(木),0,0,0,0,0,0,0,0
22日(金),162,29,45,88,0,0,17.9,45.7
23日(土),0,0,0,0,0,0,0,0
24日(日),0,0,0,0,0,0,0,0
25日(月),189,34,52,103,0,0,18.0,45.5
26日(火),168,27,47,94,0,0,16.1,44.0
27日(水),162,26,40,96,0,0,16.0,40.7
28日(木),0,0,0,0,0,0,0,0
29日(金),168,31,35,102,0,0,18.5,39.3
30日(土),143,34,36,73,0,0,23.8,49.0
総数,3191,577,848,1766,0,0,18.1,44.7
平均,159.6,28.9,42.4,88.3,0.0,0.0,18.1,44.7
前月,2549,503,589,1457,0,0,19.7,42.8
前月比,125.2,114.7,144.0,121.2,0.0,0.0,91.6,104.2
前年同月,2268,562,473,1233,0,0,24.8,45.6
前年同月比,140.7,102.7,179.3,143.2,0.0,0.0,73.0,97.9
