日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(火),165,24,40,101,0,0,14.5,38.8
2日(水),223,33,53,137,0,0,14.8,38.6
3日(木),0,0,0,0,0,0,0,0
4日(金),234,36,61,137,0,0,15.4,41.5
5日(土),161,10,44,107,0,0,6.2,33.5
6日(日),0,0,0,0,0,0,0,0
7日(月),255,36,68,151,0,0,14.1,40.8
8日(火),163,18,48,97,0,0,11.0,40.5
9日(水),189,19,49,121,0,0,10.1,36.0
10日(木),0,0,0,0,0,0,0,0
11日(金),185,17,47,121,0,0,9.2,34.6
12日(土),179,21,35,123,0,0,11.7,31.3
13日(日),0,0,0,0,0,0,0,0
14日(月),259,45,76,138,0,0,17.4,46.7
15日(火),158,15,49,94,0,0,9.5,40.5
16日(水),200,27,54,119,0,0,13.5,40.5
17日(木),0,0,0,0,0,0,0,0
18日(金),182,21,45,116,0,0,11.5,36.3
19日(土),192,15,35,142,0,0,7.8,26.0
20日(日),0,0,0,0,0,0,0,0
21日(月),268,35,78,155,0,0,13.1,42.2
22日(火),161,13,41,107,0,0,8.1,33.5
23日(水),215,28,50,137,0,0,13.0,36.3
24日(木),0,0,0,0,0,0,0,0
25日(金),199,25,43,131,0,0,12.6,34.2
26日(土),196,20,35,141,0,0,10.2,28.1
27日(日),0,0,0,0,0,0,0,0
28日(月),353,42,81,230,0,0,11.9,34.8
29日(火),0,0,0,0,0,0,0,0
30日(水),0,0,0,0,0,0,0,0
総数,4137,500,1032,2605,0,0,12.1,37.0
平均,206.8,25.0,51.6,130.3,0.0,0.0,12.1,37.0
前月,5432,648,1803,2981,0,0,11.9,45.1
前月比,76.2,77.2,57.2,87.4,0.0,0.0,101.3,82.1
前年同月,4541,721,1039,2781,0,0,15.9,38.8
前年同月比,91.1,69.3,99.3,93.7,0.0,0.0,76.1,95.5
