日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(火),69,25,14,30,0,0,36.2,56.5
2日(水),111,64,15,32,0,0,57.7,71.2
3日(木),0,0,0,0,0,0,0,0
4日(金),84,37,10,37,0,0,44.0,56.0
5日(土),66,25,14,27,0,0,37.9,59.1
6日(日),0,0,0,0,0,0,0,0
7日(月),82,43,20,19,0,0,52.4,76.8
8日(火),114,58,7,49,0,0,50.9,57.0
9日(水),106,57,14,35,0,0,53.8,67.0
10日(木),0,0,0,0,0,0,0,0
11日(金),0,0,0,0,0,0,0,0
12日(土),102,41,14,47,0,0,40.2,53.9
13日(日),0,0,0,0,0,0,0,0
14日(月),84,41,12,31,0,0,48.8,63.1
15日(火),72,28,8,36,0,0,38.9,50.0
16日(水),91,37,16,38,0,0,40.7,58.2
17日(木),0,0,0,0,0,0,0,0
18日(金),100,31,12,57,0,0,31.0,43.0
19日(土),78,34,11,33,0,0,43.6,57.7
20日(日),0,0,0,0,0,0,0,0
21日(月),102,48,13,41,0,0,47.1,59.8
22日(火),94,34,19,41,0,0,36.2,56.4
23日(水),0,0,0,0,0,0,0,0
24日(木),0,0,0,0,0,0,0,0
25日(金),107,47,14,46,0,0,43.9,57.0
26日(土),92,29,16,47,0,0,31.5,48.9
27日(日),0,0,0,0,0,0,0,0
28日(月),109,57,18,34,0,0,52.3,68.8
総数,1663,736,247,680,0,0,44.3,59.1
平均,92.4,40.9,13.7,37.8,0.0,0.0,44.3,59.1
前月,1410,552,253,605,0,0,39.1,57.1
前月比,117.9,133.3,97.6,112.4,0.0,0.0,113.0,103.5
前年同月,0,0,0,0,0,0,0.0,0.0
前年同月比,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
