日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(月),230,115487,502,1220370,204320,950550,65500
2日(火),150,83405,556,846350,142010,695990,8350
3日(水),177,97086,549,999560,158810,812050,28700
4日(木),0,0,0,0,0,0,0
5日(金),195,103590,531,1086200,180590,837050,68560
6日(土),152,83129,547,905490,143130,688160,74200
7日(日),0,0,0,0,0,0,0
8日(月),211,103688,491,1097980,168640,868240,61100
9日(火),150,87411,583,876110,149090,714260,12760
10日(水),169,82924,491,830340,130560,698680,1100
11日(木),0,0,0,0,0,0,0
12日(金),197,105297,535,1089970,181800,871170,37000
13日(土),158,79131,501,831610,141880,645500,44230
14日(日),0,0,0,0,0,0,0
15日(月),234,116278,497,1190980,195490,960910,34580
16日(火),164,89614,546,907840,152460,743680,11700
17日(水),165,87581,531,897910,155320,720490,22100
18日(木),0,0,0,0,0,0,0
19日(金),217,117354,541,1184460,214880,952420,17160
20日(土),169,97439,577,1013390,194290,780530,38570
21日(日),0,0,0,0,0,0,0
22日(月),250,138580,554,1387300,238110,1154070,-4880
23日(火),151,76408,506,765080,133650,616000,15430
24日(水),116,60702,523,613520,103430,503590,6500
25日(木),0,0,0,0,0,0,0
26日(金),318,166848,525,1669580,248880,1405160,15540
27日(土),171,95686,560,957060,161060,809560,-13560
28日(日),0,0,0,0,0,0,0
29日(月),0,0,0,0,0,0,0
30日(火),0,0,0,0,0,0,0
31日(水),0,0,0,0,0,0,0
総数,3744,1987638,531,20371100,3398400,16428060,544640
平均,187.2,99381.9,26.5,1018555.0,169920.0,821403.0,27232.0
前月,4358,2131403,489,22631030,3368170,17925100,1337760
前月比,85.9,93.3,108.5,90.0,100.9,91.6,40.7
前年同月,5028,2480503,493,25770630,3690010,21084540,996080
前年同月比,74.5,80.1,107.6,79.0,92.1,77.9,54.7
