日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(木),0,0,0,0,0,0,0
2日(金),193,103392,536,1034120,151280,882640,200
3日(土),110,65998,600,659980,102970,557010,0
4日(日),0,0,0,0,0,0,0
5日(月),186,105030,565,1052900,172400,877900,2600
6日(火),157,87493,557,875930,124590,750340,1000
7日(水),151,74045,490,740950,116030,624420,500
8日(木),0,0,0,0,0,0,0
9日(金),250,113185,453,1132050,164560,964860,2630
10日(土),162,84346,521,843660,152590,690870,200
11日(日),0,0,0,0,0,0,0
12日(月),0,0,0,0,0,0,0
13日(火),0,0,0,0,0,0,0
14日(水),0,0,0,0,0,0,0
15日(木),0,0,0,0,0,0,0
16日(金),0,0,0,0,0,0,0
17日(土),0,0,0,0,0,0,0
18日(日),0,0,0,0,0,0,0
19日(月),250,143265,573,1434750,231150,1195060,8540
20日(火),142,67094,472,671140,125570,544310,1260
21日(水),165,96963,588,969730,146820,820500,2410
22日(木),0,0,0,0,0,0,0
23日(金),176,83983,477,839930,147280,692550,100
24日(土),142,76331,538,765910,137880,625430,2600
25日(日),0,0,0,0,0,0,0
26日(月),167,97374,583,973740,182010,791730,0
27日(火),120,68995,575,689950,121700,568250,0
28日(水),149,73838,496,741480,130020,608360,3100
29日(木),0,0,0,0,0,0,0
30日(金),152,74554,490,745640,123120,622420,100
31日(土),106,52266,493,523760,85540,437120,1100
総数,2778,1468152,528,14695620,2415510,12253770,26340
平均,163.4,86361.9,31.1,864448.2,142088.8,720810.0,1549.4
前月,3818,1985777,520,19925370,3298400,16546350,80620
前月比,72.8,73.9,101.6,73.8,73.2,74.1,32.7
前年同月,2549,1522333,597,15262530,2401742,12800378,60410
前年同月比,109.0,96.4,88.5,96.3,100.6,95.7,43.6
