日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(木),0,0,0,0,0,0,0,0
2日(金),193,29,45,119,0,0,15.0,38.3
3日(土),110,24,22,64,0,0,21.8,41.8
4日(日),0,0,0,0,0,0,0,0
5日(月),186,31,44,111,0,0,16.7,40.3
6日(火),157,25,37,95,0,0,15.9,39.5
7日(水),151,22,38,91,0,0,14.6,39.7
8日(木),0,0,0,0,0,0,0,0
9日(金),250,42,60,148,0,0,16.8,40.8
10日(土),162,31,32,99,0,0,19.1,38.9
11日(日),0,0,0,0,0,0,0,0
12日(月),0,0,0,0,0,0,0,0
13日(火),0,0,0,0,0,0,0,0
14日(水),0,0,0,0,0,0,0,0
15日(木),0,0,0,0,0,0,0,0
16日(金),0,0,0,0,0,0,0,0
17日(土),0,0,0,0,0,0,0,0
18日(日),0,0,0,0,0,0,0,0
19日(月),250,45,74,131,0,0,18.0,47.6
20日(火),142,20,40,82,0,0,14.1,42.3
21日(水),165,29,46,90,0,0,17.6,45.5
22日(木),0,0,0,0,0,0,0,0
23日(金),176,18,50,108,0,0,10.2,38.6
24日(土),142,23,26,93,0,0,16.2,34.5
25日(日),0,0,0,0,0,0,0,0
26日(月),167,30,40,97,0,0,18.0,41.9
27日(火),120,16,24,80,0,0,13.3,33.3
28日(水),149,23,35,91,0,0,15.4,38.9
29日(木),0,0,0,0,0,0,0,0
30日(金),152,23,33,96,0,0,15.1,36.8
31日(土),106,11,31,64,0,0,10.4,39.6
総数,2778,442,677,1659,0,0,15.9,40.3
平均,163.4,26.0,39.8,97.6,0.0,0.0,15.9,40.3
前月,3818,598,946,2274,0,0,15.7,40.4
前月比,72.8,73.9,71.6,73.0,0.0,0.0,101.6,99.6
前年同月,2549,503,589,1457,0,0,19.7,42.8
前年同月比,109.0,87.9,114.9,113.9,0.0,0.0,80.6,94.0
