日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(火),121,76961,636,770710,126980,638290,5440
2日(水),158,85271,540,853710,148060,696160,9490
3日(木),0,0,0,0,0,0,0
4日(金),177,98841,558,988410,157360,820590,10460
5日(土),119,55562,467,555920,89550,461140,5230
6日(日),0,0,0,0,0,0,0
7日(月),196,108697,555,1090580,168220,918060,4300
8日(火),141,72401,513,724010,88300,630610,5100
9日(水),165,84779,514,849290,126400,716950,5940
10日(木),0,0,0,0,0,0,0
11日(金),162,83794,517,842040,136600,696520,8920
12日(土),142,83415,587,834350,148450,685700,200
13日(日),0,0,0,0,0,0,0
14日(月),192,99577,519,1002270,157260,831490,13520
15日(火),130,76567,589,771770,113890,658510,-630
16日(水),167,90357,541,903670,144050,759520,100
17日(木),0,0,0,0,0,0,0
18日(金),185,106295,575,1069650,172430,895620,1600
19日(土),143,81595,571,817050,134690,683370,-1010
20日(日),0,0,0,0,0,0,0
21日(月),0,0,0,0,0,0,0
22日(火),235,129007,549,1290070,238240,1051830,0
23日(水),173,103148,596,1034580,199380,832100,3100
24日(木),0,0,0,0,0,0,0
25日(金),194,104443,538,1044430,181920,858640,3870
26日(土),131,75375,575,756750,138640,617930,180
27日(日),0,0,0,0,0,0,0
28日(月),207,115493,558,1159130,189010,965920,4200
29日(火),161,91883,571,918930,175200,724920,18810
30日(水),161,91426,568,915460,156460,763130,-4130
31日(木),0,0,0,0,0,0,0
総数,3460,1914887,553,19192780,3191090,15907000,94690
平均,164.8,91185.1,26.4,913941.9,151956.7,757476.2,4509.0
前月,3640,1998959,549,20045890,3261769,16719481,64640
前月比,95.1,95.8,100.8,95.7,97.8,95.1,146.5
前年同月,3818,1985777,520,19925370,3298400,16546350,80620
前年同月比,90.6,96.4,106.4,96.3,96.7,96.1,117.5
