日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(金),288,29,82,177,0,0,10.1,38.5
2日(土),186,18,50,118,0,0,9.7,36.6
3日(日),0,0,0,0,0,0,0,0
4日(月),0,0,0,0,0,0,0,0
5日(火),311,43,87,181,0,0,13.8,41.8
6日(水),247,29,77,141,0,0,11.7,42.9
7日(木),0,0,0,0,0,0,0,0
8日(金),271,30,66,175,0,0,11.1,35.4
9日(土),207,24,74,109,0,0,11.6,47.3
10日(日),0,0,0,0,0,0,0,0
11日(月),306,37,113,156,0,0,12.1,49.0
12日(火),185,24,31,130,0,0,13.0,29.7
13日(水),254,32,74,148,0,0,12.6,41.7
14日(木),0,0,0,0,0,0,0,0
15日(金),316,37,92,187,0,0,11.7,40.8
16日(土),187,18,53,116,0,0,9.6,38.0
17日(日),0,0,0,0,0,0,0,0
18日(月),324,29,111,184,0,0,9.0,43.2
19日(火),173,19,42,112,0,0,11.0,35.3
20日(水),246,26,89,131,0,0,10.6,46.7
21日(木),0,0,0,0,0,0,0,0
22日(金),357,34,108,215,0,0,9.5,39.8
23日(土),0,0,0,0,0,0,0,0
24日(日),0,0,0,0,0,0,0,0
25日(月),345,34,109,202,0,0,9.9,41.4
26日(火),166,24,36,106,0,0,14.5,36.1
27日(水),224,21,69,134,0,0,9.4,40.2
28日(木),0,0,0,0,0,0,0,0
29日(金),314,27,85,202,0,0,8.6,35.7
30日(土),181,20,62,99,0,0,11.0,45.3
総数,5088,555,1510,3023,0,0,10.9,40.6
平均,254.4,27.8,75.5,151.2,0.0,0.0,10.9,40.6
前月,4300,558,1285,2457,0,0,13.0,42.9
前月比,118.3,99.5,117.5,123.0,0.0,0.0,84.1,94.7
前年同月,3901,486,1191,2224,0,0,12.5,43.0
前年同月比,130.4,114.2,126.8,135.9,0.0,0.0,87.6,94.4
