日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(日),0,0,0,0,0,0,0
2日(月),253,146257,578,1465570,215730,1236010,13830
3日(火),133,71415,537,714250,124390,589760,100
4日(水),172,92864,540,928840,128190,794070,6580
5日(木),0,0,0,0,0,0,0
6日(金),182,104046,572,1065460,174640,865820,25000
7日(土),158,87605,554,876150,147730,728320,100
8日(日),0,0,0,0,0,0,0
9日(月),269,145172,540,1454920,213790,1233110,8020
10日(火),139,75576,544,757060,106470,649290,1300
11日(水),180,103141,573,1042610,174970,860280,7360
12日(木),0,0,0,0,0,0,0
13日(金),202,116563,577,1166830,197180,968450,1200
14日(土),159,84970,534,850800,144480,716080,-9760
15日(日),0,0,0,0,0,0,0
16日(月),193,112410,582,1124100,200360,923740,0
17日(火),128,67844,530,678440,108140,570300,0
18日(水),137,72245,527,722450,129680,592770,0
19日(木),0,0,0,0,0,0,0
20日(金),158,80500,509,805100,132530,675880,-3310
21日(土),125,68279,546,682890,110960,571830,100
22日(日),0,0,0,0,0,0,0
23日(月),212,115201,543,1155110,188960,963050,3100
24日(火),138,69239,502,694490,114860,577530,2100
25日(水),165,87118,528,875580,146200,727520,1860
26日(木),0,0,0,0,0,0,0
27日(金),157,87030,554,870300,148759,716931,4610
28日(土),164,92262,563,922720,159120,765970,-2370
29日(日),0,0,0,0,0,0,0
30日(月),216,119222,552,1192220,194630,992770,4820
総数,3640,1998959,549,20045890,3261769,16719481,64640
平均,173.3,95188.5,26.2,954566.2,155322.3,796165.8,3078.1
前月,3685,2044754,555,20463140,3244670,17180120,38350
前月比,98.8,97.8,99.0,98.0,100.5,97.3,168.6
前年同月,3813,1921295,504,19261250,2820350,16398090,42810
前年同月比,95.5,104.0,109.0,104.1,115.7,102.0,151.0
