日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(金),138,76051,551,760510,90860,669650,0
2日(土),109,54571,501,547710,108710,434950,4050
3日(日),0,0,0,0,0,0,0
4日(月),115,70829,616,708290,81320,612480,14490
5日(火),107,53763,502,537630,67780,467850,2000
6日(水),120,61892,516,619920,93320,525600,1000
7日(木),0,0,0,0,0,0,0
8日(金),164,104547,637,1046470,172220,873250,1000
9日(土),136,74190,546,741900,98090,645860,-2050
10日(日),0,0,0,0,0,0,0
11日(月),166,102524,618,1030740,142470,872850,15420
12日(火),100,52727,527,527370,73580,449330,4460
13日(水),106,64658,610,646580,91820,559120,-4360
14日(木),0,0,0,0,0,0,0
15日(金),120,72696,606,726960,97050,618060,11850
16日(土),128,74965,586,754150,74080,679690,380
17日(日),0,0,0,0,0,0,0
18日(月),128,72273,565,722730,92660,630070,0
19日(火),78,39406,505,395060,60060,341800,-6800
20日(水),110,56475,513,564750,68020,490680,6050
21日(木),0,0,0,0,0,0,0
22日(金),130,80475,619,807750,79380,725370,3000
23日(土),108,55010,509,550100,38200,507020,4880
24日(日),0,0,0,0,0,0,0
25日(月),146,85603,586,856030,99830,767130,-10930
26日(火),117,70209,600,703090,105210,596880,1000
27日(水),140,78344,560,783540,70680,712760,100
28日(木),0,0,0,0,0,0,0
29日(金),0,0,0,0,0,0,0
30日(土),0,0,0,0,0,0,0
総数,2466,1401208,568,14031280,1805340,12180400,45540
平均,123.3,70060.4,28.4,701564.0,90267.0,609020.0,2277.0
前月,2540,1511009,595,15130010,1846790,13258780,24440
前月比,97.1,92.7,95.5,92.7,97.8,91.9,186.3
前年同月,0,0,0,0,0,0,0
前年同月比,0.0,0.0,0.0,0.0,0.0,0.0,0.0
