日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(土),161,30,28,103,0,0,18.6,36.0
2日(日),0,0,0,0,0,0,0,0
3日(月),193,48,29,116,0,0,24.9,39.9
4日(火),188,35,31,122,0,0,18.6,35.1
5日(水),167,34,29,104,0,0,20.4,37.7
6日(木),0,0,0,0,0,0,0,0
7日(金),176,37,35,104,0,0,21.0,40.9
8日(土),122,25,13,84,0,0,20.5,31.1
9日(日),0,0,0,0,0,0,0,0
10日(月),178,27,37,114,0,0,15.2,36.0
11日(火),153,32,34,87,0,0,20.9,43.1
12日(水),151,25,28,98,0,0,16.6,35.1
13日(木),0,0,0,0,0,0,0,0
14日(金),182,26,30,126,0,0,14.3,30.8
15日(土),152,30,21,101,0,0,19.7,33.6
16日(日),0,0,0,0,0,0,0,0
17日(月),196,49,29,118,0,0,25.0,39.8
18日(火),181,44,32,105,0,0,24.3,42.0
19日(水),179,48,31,100,0,0,26.8,44.1
20日(木),0,0,0,0,0,0,0,0
21日(金),197,35,34,128,0,0,17.8,35.0
22日(土),170,32,26,112,0,0,18.8,34.1
23日(日),0,0,0,0,0,0,0,0
24日(月),230,47,34,149,0,0,20.4,35.2
25日(火),202,42,38,122,0,0,20.8,39.6
26日(水),216,44,33,139,0,0,20.4,35.6
27日(木),0,0,0,0,0,0,0,0
28日(金),239,56,41,142,0,0,23.4,40.6
29日(土),0,0,0,0,0,0,0,0
30日(日),0,0,0,0,0,0,0,0
総数,3633,746,613,2274,0,0,20.5,37.4
平均,181.7,37.3,30.6,113.7,0.0,0.0,20.5,37.4
前月,4353,1076,1149,2128,0,0,24.7,51.1
前月比,83.5,69.3,53.4,106.9,0.0,0.0,83.1,73.2
前年同月,2466,823,334,1309,0,0,33.4,46.9
前年同月比,147.3,90.6,183.5,173.7,0.0,0.0,61.5,79.7
