日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(月),186,21,72,93,0,0,11.3,50.0
2日(火),146,18,39,89,0,0,12.3,39.0
3日(水),147,24,44,79,0,0,16.3,46.3
4日(木),0,0,0,0,0,0,0,0
5日(金),166,31,59,76,0,0,18.7,54.2
6日(土),142,11,36,95,0,0,7.7,33.1
7日(日),0,0,0,0,0,0,0,0
8日(月),180,26,69,85,0,0,14.4,52.8
9日(火),165,22,68,75,0,0,13.3,54.5
10日(水),158,22,45,91,0,0,13.9,42.4
11日(木),0,0,0,0,0,0,0,0
12日(金),170,24,42,104,0,0,14.1,38.8
13日(土),159,13,55,91,0,0,8.2,42.8
14日(日),0,0,0,0,0,0,0,0
15日(月),0,0,0,0,0,0,0,0
16日(火),247,35,80,132,0,0,14.2,46.6
17日(水),157,23,46,88,0,0,14.6,43.9
18日(木),0,0,0,0,0,0,0,0
19日(金),212,20,80,112,0,0,9.4,47.2
20日(土),169,24,51,94,0,0,14.2,44.4
21日(日),0,0,0,0,0,0,0,0
22日(月),231,35,73,123,0,0,15.2,46.8
23日(火),0,0,0,0,0,0,0,0
24日(水),198,28,64,106,0,0,14.1,46.5
25日(木),0,0,0,0,0,0,0,0
26日(金),207,31,69,107,0,0,15.0,48.3
27日(土),158,17,46,95,0,0,10.8,39.9
28日(日),0,0,0,0,0,0,0,0
29日(月),223,30,76,117,0,0,13.5,47.5
30日(火),170,24,52,94,0,0,14.1,44.7
総数,3591,479,1166,1946,0,0,13.3,45.8
平均,179.6,23.9,58.3,97.3,0.0,0.0,13.3,45.8
前月,3133,474,1003,1656,0,0,15.1,47.1
前月比,114.6,101.1,116.3,117.5,0.0,0.0,88.2,97.2
前年同月,3451,539,989,1923,0,0,15.6,44.3
前年同月比,104.1,88.9,117.9,101.2,0.0,0.0,85.4,103.5
