日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(水),114,71832,630,718520,94530,623790,200
2日(木),0,0,0,0,0,0,0
3日(金),175,107662,615,1077720,124690,951930,1100
4日(土),131,82791,632,827910,85230,742680,0
5日(日),0,0,0,0,0,0,0
6日(月),220,140851,640,1408510,162420,1246090,0
7日(火),145,83416,575,833330,95250,738080,0
8日(水),161,86567,538,865670,100320,751020,14330
9日(木),0,0,0,0,0,0,0
10日(金),0,0,0,0,0,0,0
11日(土),0,0,0,0,0,0,0
12日(日),0,0,0,0,0,0,0
13日(月),236,147123,623,1472330,190920,1280310,1100
14日(火),179,100598,562,1005400,124750,880650,0
15日(水),166,102274,616,1022840,130670,892070,100
16日(木),0,0,0,0,0,0,0
17日(金),191,114754,601,1149540,136320,1011220,2000
18日(土),155,90971,587,909710,112890,796820,0
19日(日),0,0,0,0,0,0,0
20日(月),198,128928,651,1317280,155950,1128970,32360
21日(火),168,99123,590,991230,108550,882680,0
22日(水),181,110570,611,1105800,141150,964550,100
23日(木),0,0,0,0,0,0,0
24日(金),204,121188,594,1236880,164250,1061960,10670
25日(土),152,88286,581,883060,107070,775790,200
26日(日),0,0,0,0,0,0,0
27日(月),167,103338,619,1033380,103730,929650,0
28日(火),147,82428,561,824280,90940,733340,0
総数,3090,1862700,603,18683390,2229630,16391600,62160
平均,171.7,103483.3,33.5,1037966.1,123868.3,910644.4,3453.3
前月,2450,1616673,660,16225830,2031880,14101780,92170
前月比,126.1,115.2,91.4,115.1,109.7,116.2,67.4
前年同月,1663,1244637,748,12455940,1704490,10783350,-31900
前年同月比,185.8,149.7,80.5,150.0,130.8,152.0,-194.9
