日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(金),178,29,46,103,0,0,16.3,42.1
2日(土),211,24,62,125,0,0,11.4,40.8
3日(日),0,0,0,0,0,0,0,0
4日(月),207,47,64,96,0,0,22.7,53.6
5日(火),197,28,50,119,0,0,14.2,39.6
6日(水),209,23,57,129,0,0,11.0,38.3
7日(木),0,0,0,0,0,0,0,0
8日(金),198,25,35,138,0,0,12.6,30.3
9日(土),173,19,63,91,0,0,11.0,47.4
10日(日),0,0,0,0,0,0,0,0
11日(月),199,30,42,127,0,0,15.1,36.2
12日(火),187,18,61,108,0,0,9.6,42.2
13日(水),205,23,64,118,0,0,11.2,42.4
14日(木),0,0,0,0,0,0,0,0
15日(金),201,26,51,124,0,0,12.9,38.3
16日(土),187,25,59,103,0,0,13.4,44.9
17日(日),0,0,0,0,0,0,0,0
18日(月),182,25,47,110,0,0,13.7,39.6
19日(火),152,28,35,89,0,0,18.4,41.4
20日(水),182,26,47,109,0,0,14.3,40.1
21日(木),0,0,0,0,0,0,0,0
22日(金),186,18,40,128,0,0,9.7,31.2
23日(土),188,20,59,109,0,0,10.6,42.0
24日(日),0,0,0,0,0,0,0,0
25日(月),222,27,47,148,0,0,12.2,33.3
26日(火),234,31,48,155,0,0,13.2,33.8
27日(水),95,7,30,58,0,0,7.4,38.9
28日(木),0,0,0,0,0,0,0,0
29日(金),0,0,0,0,0,0,0,0
30日(土),0,0,0,0,0,0,0,0
31日(日),0,0,0,0,0,0,0,0
総数,3793,499,1007,2287,0,0,13.2,39.7
平均,189.7,24.9,50.4,114.3,0.0,0.0,13.2,39.7
前月,3901,486,1191,2224,0,0,12.5,43.0
前月比,97.2,102.7,84.6,102.8,0.0,0.0,105.6,92.4
前年同月,3462,658,684,2120,0,0,19.0,38.8
前年同月比,109.6,75.8,147.2,107.9,0.0,0.0,69.2,102.4
