日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(日),0,0,0,0,0,0,0
2日(月),202,118037,584,1180470,180760,992260,7450
3日(火),177,95794,541,958240,154940,803000,300
4日(水),230,117627,511,1182270,165850,1010420,6000
5日(木),0,0,0,0,0,0,0
6日(金),259,151018,583,1510180,285010,1204320,20850
7日(土),168,94022,560,940220,177150,767800,-4730
8日(日),0,0,0,0,0,0,0
9日(月),287,167549,584,1681090,257210,1415730,8150
10日(火),0,0,0,0,0,0,0
11日(水),0,0,0,0,0,0,0
12日(木),0,0,0,0,0,0,0
13日(金),315,183263,582,1832730,283600,1536450,12680
14日(土),152,75663,498,759730,122460,634170,3100
15日(日),0,0,0,0,0,0,0
16日(月),267,148565,556,1486350,260520,1229150,-3320
17日(火),173,100697,582,1009970,175820,830550,3600
18日(水),202,117484,582,1175940,210030,960180,5730
19日(木),0,0,0,0,0,0,0
20日(金),276,141681,513,1417110,240990,1175820,300
21日(土),206,117280,569,1172380,229290,950890,-7800
22日(日),0,0,0,0,0,0,0
23日(月),0,0,0,0,0,0,0
24日(火),289,166857,577,1669870,288140,1380430,1300
25日(水),271,148962,550,1490320,280490,1209130,700
26日(木),0,0,0,0,0,0,0
27日(金),296,175107,592,1754470,252010,1494780,7680
28日(土),231,139168,602,1391680,269010,1122670,0
総数,4001,2258774,565,22613020,3833280,18717750,61990
平均,235.4,132869.1,33.2,1330177.6,225487.1,1101044.1,3646.5
前月,3767,2148999,570,21542290,3628150,17825330,88810
前月比,106.2,105.1,99.0,105.0,105.7,105.0,69.8
前年同月,4151,2216222,534,22184020,3396500,18765720,21800
前年同月比,96.4,101.9,105.7,101.9,112.9,99.7,284.4
