日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(木),0,0,0,0,0,0,0
2日(金),192,97919,510,980190,134530,837090,8570
3日(土),220,118313,538,1185930,154880,1026930,4120
4日(日),0,0,0,0,0,0,0
5日(月),212,114985,542,1150850,167250,979270,4330
6日(火),183,88597,484,917970,113580,764830,39560
7日(水),210,127158,606,1272580,184230,1086950,1400
8日(木),0,0,0,0,0,0,0
9日(金),223,112024,502,1120240,149510,978180,-7450
10日(土),182,103848,571,1041480,157590,880890,3000
11日(日),0,0,0,0,0,0,0
12日(月),0,0,0,0,0,0,0
13日(火),260,151487,583,1515970,187340,1327530,1100
14日(水),205,104252,509,1065620,161730,876380,27510
15日(木),0,0,0,0,0,0,0
16日(金),224,126665,565,1267650,207770,1060880,-1000
17日(土),200,104182,521,1041820,157370,884450,0
18日(日),0,0,0,0,0,0,0
19日(月),220,117966,536,1183760,162890,1005680,15190
20日(火),186,95822,515,959220,142840,815380,1000
21日(水),212,105715,499,1057150,147440,909030,680
22日(木),0,0,0,0,0,0,0
23日(金),0,0,0,0,0,0,0
24日(土),227,120245,530,1202450,155420,1051120,-4090
25日(日),0,0,0,0,0,0,0
26日(月),258,122807,476,1230170,190910,1006820,32440
27日(火),240,113560,473,1135700,162540,980620,-7460
28日(水),270,132078,489,1322080,170360,1150420,1300
29日(木),0,0,0,0,0,0,0
総数,3924,2057623,524,20650830,2908180,17622450,120200
平均,218.0,114312.4,29.1,1147268.3,161565.6,979025.0,6677.8
前月,3159,1739996,551,17440760,2741960,14648040,50760
前月比,124.2,118.3,95.2,118.4,106.1,120.3,236.8
前年同月,3090,1862700,603,18683390,2229630,16391600,62160
前年同月比,127.0,110.5,87.0,110.5,130.4,107.5,193.4
