日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(金),288,129933,451,1392830,192400,1106930,93500
2日(土),186,78850,424,864600,128020,660480,76100
3日(日),0,0,0,0,0,0,0
4日(月),0,0,0,0,0,0,0
5日(火),311,158580,510,1608100,218060,1361350,28690
6日(水),247,122926,498,1292460,170010,1063380,59070
7日(木),0,0,0,0,0,0,0
8日(金),271,116639,430,1268590,155840,995730,117020
9日(土),207,94126,455,1025460,141820,799440,84200
10日(日),0,0,0,0,0,0,0
11日(月),306,145375,475,1558350,164650,1289480,104220
12日(火),185,76064,411,766840,97150,663490,6200
13日(水),254,117901,464,1240410,196400,985170,58840
14日(木),0,0,0,0,0,0,0
15日(金),316,140321,444,1514210,210930,1192280,111000
16日(土),187,82086,439,891160,114880,705980,70300
17日(日),0,0,0,0,0,0,0
18日(月),324,155504,480,1657340,233640,1328150,95550
19日(火),173,77703,449,786030,118820,658210,9000
20日(水),246,112185,456,1206450,146480,975370,84600
21日(木),0,0,0,0,0,0,0
22日(金),357,149865,420,1672850,211690,1286960,174200
23日(土),0,0,0,0,0,0,0
24日(日),0,0,0,0,0,0,0
25日(月),345,164221,476,1734410,214550,1423170,96690
26日(火),166,86461,521,864710,141740,734750,-11780
27日(水),224,104734,468,1116640,158030,878440,80170
28日(木),0,0,0,0,0,0,0
29日(金),314,140490,447,1499200,180880,1224020,94300
30日(土),181,92214,509,996540,130370,791770,74400
総数,5088,2346178,461,24957180,3326360,20124550,1506270
平均,254.4,117308.9,23.1,1247859.0,166318.0,1006227.5,75313.5
前月,4300,2034821,473,21357730,3153020,17185160,1019550
前月比,118.3,115.3,97.4,116.9,105.5,117.1,147.7
前年同月,3901,1820029,467,19970890,2495150,15694200,1781540
前年同月比,130.4,128.9,98.8,125.0,133.3,128.2,84.5
