日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(土),200,94676,473,946760,121920,824840,0
2日(日),0,0,0,0,0,0,0
3日(月),285,160525,563,1605250,218850,1386400,0
4日(火),187,102904,550,1029140,151690,869490,7960
5日(水),247,121687,493,1216970,175400,1041470,100
6日(木),0,0,0,0,0,0,0
7日(金),272,135250,497,1355800,218630,1133870,3300
8日(土),174,93967,540,939770,152230,789410,-1870
9日(日),0,0,0,0,0,0,0
10日(月),262,128111,489,1282110,188510,1085440,8160
11日(火),189,94230,499,942500,129620,812680,200
12日(水),278,144728,521,1447480,206560,1240720,200
13日(木),0,0,0,0,0,0,0
14日(金),338,172726,511,1727360,263640,1464730,-1010
15日(土),243,127994,527,1280040,193170,1086770,100
16日(日),0,0,0,0,0,0,0
17日(月),322,170262,529,1705620,227160,1482880,-4420
18日(火),207,108307,523,1084070,164960,918110,1000
19日(水),249,121856,489,1230560,172710,1045850,12000
20日(木),0,0,0,0,0,0,0
21日(金),220,113167,514,1132770,190570,936140,6060
22日(土),199,106971,538,1069810,151680,911640,6490
23日(日),0,0,0,0,0,0,0
24日(月),312,153270,491,1532700,221430,1306420,4850
25日(火),204,95410,468,976100,129780,824320,22000
26日(水),283,138530,490,1385500,190060,1190420,5020
27日(木),0,0,0,0,0,0,0
28日(金),287,141630,493,1416500,202280,1214020,200
29日(土),205,94116,459,941160,181920,759240,0
30日(日),0,0,0,0,0,0,0
31日(月),269,140099,521,1401190,245040,1160800,-4650
総数,5432,2760416,508,27649160,4097810,23485660,65690
平均,246.9,125473.5,23.1,1256780.0,186264.1,1067530.0,2985.9
前月,4151,2216222,534,22184020,3396500,18765720,21800
前月比,130.9,124.6,95.2,124.6,120.6,125.2,301.3
前年同月,4633,2283152,493,22859020,3370270,19484290,4460
前年同月比,117.2,120.9,103.1,121.0,121.6,120.5,1472.9
