日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(金),231,29,80,122,0,0,12.6,47.2
2日(土),228,39,70,119,0,0,17.1,47.8
3日(日),0,0,0,0,0,0,0,0
4日(月),239,31,74,134,0,0,13.0,43.9
5日(火),210,33,78,99,0,0,15.7,52.9
6日(水),204,34,60,110,0,0,16.7,46.1
7日(木),0,0,0,0,0,0,0,0
8日(金),222,37,57,128,0,0,16.7,42.3
9日(土),210,35,60,115,0,0,16.7,45.2
10日(日),0,0,0,0,0,0,0,0
11日(月),226,40,61,125,0,0,17.7,44.7
12日(火),198,34,70,94,0,0,17.2,52.5
13日(水),210,16,61,133,0,0,7.6,36.7
14日(木),0,0,0,0,0,0,0,0
15日(金),261,44,71,146,0,0,16.9,44.1
16日(土),221,39,47,135,0,0,17.6,38.9
17日(日),0,0,0,0,0,0,0,0
18日(月),264,49,73,142,0,0,18.6,46.2
19日(火),250,40,62,148,0,0,16.0,40.8
20日(水),0,0,0,0,0,0,0,0
21日(木),0,0,0,0,0,0,0,0
22日(金),273,56,69,148,0,0,20.5,45.8
23日(土),191,37,45,109,0,0,19.4,42.9
24日(日),0,0,0,0,0,0,0,0
25日(月),231,34,59,138,0,0,14.7,40.3
26日(火),173,27,38,108,0,0,15.6,37.6
27日(水),200,27,55,118,0,0,13.5,41.0
28日(木),0,0,0,0,0,0,0,0
29日(金),220,34,50,136,0,0,15.5,38.2
30日(土),171,23,45,103,0,0,13.5,39.8
31日(日),0,0,0,0,0,0,0,0
総数,4633,738,1285,2610,0,0,15.9,43.7
平均,220.6,35.1,61.2,124.3,0.0,0.0,15.9,43.7
前月,3924,599,1266,2059,0,0,15.3,47.5
前月比,118.1,123.2,101.5,126.8,0.0,0.0,104.4,91.9
前年同月,4353,1076,1149,2128,0,0,24.7,51.1
前年同月比,106.4,68.6,111.8,122.7,0.0,0.0,64.4,85.4
