日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(木),0,0,0,0,0,0,0,0
2日(金),0,0,0,0,0,0,0,0
3日(土),0,0,0,0,0,0,0,0
4日(日),0,0,0,0,0,0,0,0
5日(月),288,48,127,113,0,0,16.7,60.8
6日(火),174,26,66,82,0,0,14.9,52.9
7日(水),169,30,53,86,0,0,17.8,49.1
8日(木),0,0,0,0,0,0,0,0
9日(金),186,18,69,99,0,0,9.7,46.8
10日(土),170,21,57,92,0,0,12.4,45.9
11日(日),0,0,0,0,0,0,0,0
12日(月),0,0,0,0,0,0,0,0
13日(火),221,32,76,113,0,0,14.5,48.9
14日(水),179,21,63,95,0,0,11.7,46.9
15日(木),0,0,0,0,0,0,0,0
16日(金),211,26,71,114,0,0,12.3,46.0
17日(土),161,25,60,76,0,0,15.5,52.8
18日(日),0,0,0,0,0,0,0,0
19日(月),195,32,79,84,0,0,16.4,56.9
20日(火),189,25,60,104,0,0,13.2,45.0
21日(水),194,34,67,93,0,0,17.5,52.1
22日(木),0,0,0,0,0,0,0,0
23日(金),196,23,87,86,0,0,11.7,56.1
24日(土),200,25,66,109,0,0,12.5,45.5
25日(日),0,0,0,0,0,0,0,0
26日(月),236,30,102,104,0,0,12.7,55.9
27日(火),172,28,74,70,0,0,16.3,59.3
28日(水),196,19,70,107,0,0,9.7,45.4
29日(木),0,0,0,0,0,0,0,0
30日(金),235,29,96,110,0,0,12.3,53.2
31日(土),195,16,68,111,0,0,8.2,43.1
総数,3767,508,1411,1848,0,0,13.5,50.9
平均,198.3,26.7,74.3,97.3,0.0,0.0,13.5,50.9
前月,3744,401,1238,2105,0,0,10.7,43.8
前月比,100.6,126.7,114.0,87.8,0.0,0.0,125.9,116.4
前年同月,3676,505,1248,1923,0,0,13.7,47.7
前年同月比,102.5,100.6,113.1,96.1,0.0,0.0,98.2,106.8
