日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(土),180,18,66,96,0,0,10.0,46.7
2日(日),0,0,0,0,0,0,0,0
3日(月),258,18,117,123,0,0,7.0,52.3
4日(火),145,10,60,75,0,0,6.9,48.3
5日(水),182,22,64,96,0,0,12.1,47.3
6日(木),0,0,0,0,0,0,0,0
7日(金),248,37,83,128,0,0,14.9,48.4
8日(土),150,19,40,91,0,0,12.7,39.3
9日(日),0,0,0,0,0,0,0,0
10日(月),298,40,119,139,0,0,13.4,53.4
11日(火),0,0,0,0,0,0,0,0
12日(水),237,31,93,113,0,0,13.1,52.3
13日(木),0,0,0,0,0,0,0,0
14日(金),245,21,90,134,0,0,8.6,45.3
15日(土),175,22,51,102,0,0,12.6,41.7
16日(日),0,0,0,0,0,0,0,0
17日(月),318,43,101,174,0,0,13.5,45.3
18日(火),190,23,59,108,0,0,12.1,43.2
19日(水),214,26,75,113,0,0,12.1,47.2
20日(木),0,0,0,0,0,0,0,0
21日(金),297,37,92,168,0,0,12.5,43.4
22日(土),173,24,37,112,0,0,13.9,35.3
23日(日),0,0,0,0,0,0,0,0
24日(月),0,0,0,0,0,0,0,0
25日(火),291,44,95,152,0,0,15.1,47.8
26日(水),259,26,76,157,0,0,10.0,39.4
27日(木),0,0,0,0,0,0,0,0
28日(金),291,44,101,146,0,0,15.1,49.8
総数,4151,505,1419,2227,0,0,12.2,46.4
平均,230.6,28.1,78.8,123.7,0.0,0.0,12.2,46.4
前月,3676,505,1248,1923,0,0,13.7,47.7
前月比,112.9,100.0,113.7,115.8,0.0,0.0,88.6,97.2
前年同月,3924,599,1266,2059,0,0,15.3,47.5
前年同月比,105.8,84.3,112.1,108.2,0.0,0.0,79.7,97.5
