日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(日),0,0,0,0,0,0,0
2日(月),171,93458,547,935780,162400,763400,9980
3日(火),129,69688,540,697380,112977,583903,500
4日(水),146,81640,559,816400,134150,682250,0
5日(木),0,0,0,0,0,0,0
6日(金),178,87661,492,876810,133920,742690,200
7日(土),150,83899,559,838990,138290,696410,4290
8日(日),0,0,0,0,0,0,0
9日(月),192,97810,509,978100,131340,846760,0
10日(火),132,66712,505,667220,85600,581520,100
11日(水),139,67318,484,673280,110470,562710,100
12日(木),0,0,0,0,0,0,0
13日(金),192,93691,488,937910,131880,809520,-3490
14日(土),158,77757,492,777670,103800,663810,10060
15日(日),0,0,0,0,0,0,0
16日(月),0,0,0,0,0,0,0
17日(火),260,149635,576,1503550,234300,1262050,7200
18日(水),166,75814,457,760140,85710,675030,-600
19日(木),0,0,0,0,0,0,0
20日(金),236,117026,496,1170460,132210,1034330,3920
21日(土),169,95120,563,951300,146270,804930,100
22日(日),0,0,0,0,0,0,0
23日(月),0,0,0,0,0,0,0
24日(火),224,114775,512,1153450,161740,981200,10510
25日(水),198,100731,509,1010310,160006,832584,17720
26日(木),0,0,0,0,0,0,0
27日(金),213,112390,528,1124900,183530,940370,1000
28日(土),183,97994,535,979940,159920,820020,0
29日(日),0,0,0,0,0,0,0
30日(月),215,118966,553,1189660,168350,1015780,5530
総数,3451,1802085,522,18043250,2676863,15299267,67120
平均,181.6,94846.6,27.5,949644.7,140887.5,805224.6,3532.6
前月,2778,1468152,528,14695620,2415510,12253770,26340
前月比,124.2,122.7,98.8,122.8,110.8,124.9,254.8
前年同月,3191,1930510,605,19360600,2795150,16498480,66970
前年同月比,108.1,93.3,86.3,93.2,95.8,92.7,100.2
