日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(日),0,0,0,0,0,0,0
2日(月),0,0,0,0,0,0,0
3日(火),0,0,0,0,0,0,0
4日(水),0,0,0,0,0,0,0
5日(木),0,0,0,0,0,0,0
6日(金),213,157938,741,1583380,195910,1383470,4000
7日(土),122,76624,628,775740,98610,667630,9500
8日(日),0,0,0,0,0,0,0
9日(月),0,0,0,0,0,0,0
10日(火),177,133269,753,1342690,151390,1171430,19870
11日(水),139,98813,711,989230,128510,859620,1100
12日(木),0,0,0,0,0,0,0
13日(金),170,103981,612,1039910,156810,883000,100
14日(土),111,66821,602,669310,107010,561200,1100
15日(日),0,0,0,0,0,0,0
16日(月),141,92814,658,931140,130000,798140,3000
17日(火),102,53538,525,549380,68520,466860,14000
18日(水),138,104520,757,1053200,93520,946470,13210
19日(木),0,0,0,0,0,0,0
20日(金),151,93258,618,935580,120640,796860,18080
21日(土),124,96412,778,967120,114130,849990,3000
22日(日),0,0,0,0,0,0,0
23日(月),138,94404,684,944040,109170,814880,19990
24日(火),105,58676,559,586860,88390,498370,100
25日(水),98,63419,647,634390,70390,563800,200
26日(木),0,0,0,0,0,0,0
27日(金),138,85997,623,861970,125830,736140,0
28日(土),124,76197,614,761970,99400,677650,-15080
29日(日),0,0,0,0,0,0,0
30日(月),160,103143,645,1031430,116720,914710,0
31日(火),99,56849,574,568490,56930,511560,0
総数,2450,1616673,660,16225830,2031880,14101780,92170
平均,136.1,89815.2,36.7,901435.0,112882.2,783432.2,5120.6
前月,3461,2071061,598,22014306,2095070,18633980,1285256
前月比,70.8,78.1,110.3,73.7,97.0,75.7,7.2
前年同月,1410,1019216,723,10204460,1314050,8829320,61090
前年同月比,173.8,158.6,91.3,159.0,154.6,159.7,150.9
