日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(金),169,96203,569,963130,161580,797700,3850
2日(土),132,77932,590,783320,145310,634010,4000
3日(日),0,0,0,0,0,0,0
4日(月),208,109100,525,1097000,206370,884630,6000
5日(火),153,83342,545,833520,134570,698850,100
6日(水),164,88370,539,882820,137380,740130,5310
7日(木),0,0,0,0,0,0,0
8日(金),201,106550,530,1069700,177490,871810,20400
9日(土),145,81471,562,817710,126030,688680,3000
10日(日),0,0,0,0,0,0,0
11日(月),0,0,0,0,0,0,0
12日(火),234,136631,584,1366310,238170,1139450,-11310
13日(水),0,0,0,0,0,0,0
14日(木),0,0,0,0,0,0,0
15日(金),0,0,0,0,0,0,0
16日(土),111,57440,517,574400,102430,461210,10760
17日(日),0,0,0,0,0,0,0
18日(月),178,106733,600,1067330,183410,883920,0
19日(火),160,82045,513,820550,113280,707170,100
20日(水),147,87799,597,878490,159090,718900,500
21日(木),0,0,0,0,0,0,0
22日(金),188,103381,550,1034910,202800,831010,1100
23日(土),133,79200,595,792000,133740,658260,0
24日(日),0,0,0,0,0,0,0
25日(月),183,106767,583,1070370,172740,894930,2700
26日(火),136,73202,538,732120,118410,613610,100
27日(水),170,90672,533,906820,147300,754600,4920
28日(木),0,0,0,0,0,0,0
29日(金),197,106449,540,1067490,182980,873010,11500
30日(土),124,67860,547,681700,115540,563060,3100
31日(日),0,0,0,0,0,0,0
総数,3133,1741147,556,17439690,2958620,14414940,66130
平均,164.9,91639.3,29.2,917878.4,155716.8,758681.1,3480.5
前月,3460,1914887,553,19192780,3191090,15907000,94690
前月比,90.5,90.9,100.4,90.9,92.7,90.6,69.8
前年同月,2778,1468152,528,14695620,2415510,12253770,26340
前年同月比,112.8,118.6,105.2,118.7,122.5,117.6,251.1
