日,延べ患者数 (人),～3歳,3～6歳,6～12歳,12～20歳,20～30歳,30～50歳,50～60歳,60～65歳,65～75歳,75歳～
1日(水),207,15,17,29,21,24,43,26,8,15,9
2日(木),0,0,0,0,0,0,0,0,0,0,0
3日(金),232,21,27,33,13,17,64,23,11,11,12
4日(土),211,9,17,20,11,17,73,39,7,12,6
5日(日),0,0,0,0,0,0,0,0,0,0,0
6日(月),250,30,20,30,24,27,62,21,7,16,13
7日(火),220,12,18,31,17,18,65,27,10,8,14
8日(水),205,20,19,25,14,21,54,24,5,14,9
9日(木),0,0,0,0,0,0,0,0,0,0,0
10日(金),203,20,10,32,10,24,49,18,7,19,14
11日(土),175,15,19,16,16,22,49,16,5,9,8
12日(日),0,0,0,0,0,0,0,0,0,0,0
13日(月),251,33,30,36,20,22,58,23,10,12,7
14日(火),220,27,22,25,14,20,49,18,6,22,17
15日(水),180,20,15,24,14,15,42,15,8,13,14
16日(木),0,0,0,0,0,0,0,0,0,0,0
17日(金),202,20,32,37,14,12,49,18,7,7,6
18日(土),222,19,25,39,18,19,61,23,4,5,9
19日(日),0,0,0,0,0,0,0,0,0,0,0
20日(月),232,19,21,42,20,23,53,23,7,11,13
21日(火),160,12,13,30,18,15,40,8,5,8,11
22日(水),191,20,18,33,14,10,57,15,4,12,8
23日(木),0,0,0,0,0,0,0,0,0,0,0
24日(金),236,31,27,43,12,13,46,27,6,17,14
25日(土),229,27,25,48,16,11,62,24,9,4,3
26日(日),0,0,0,0,0,0,0,0,0,0,0
27日(月),261,18,19,58,24,16,64,20,15,12,15
28日(火),242,25,20,58,18,9,66,17,9,7,13
29日(水),0,0,0,0,0,0,0,0,0,0,0
30日(木),0,0,0,0,0,0,0,0,0,0,0
総数,4329,413,414,689,328,355,1106,425,150,234,215
平均,216.4,20.6,20.7,34.5,16.4,17.8,55.3,21.3,7.5,11.7,10.8
前月,5654,381,464,752,590,596,1673,492,189,270,247
前月比,76.6,108.4,89.2,91.6,55.6,59.6,66.1,86.4,79.4,86.7,87
前年同月,4137,525,454,528,356,321,1056,355,147,191,204
前年同月比,104.6,78.7,91.2,130.5,92.1,110.6,104.7,119.7,102,122.5,105.4
