月,総診療報酬 (点),レセ単価 (点),レセ枚数 (枚),初診 (点),再診 (点),管理 (点),在宅 (点),投薬 (点),注射 (点),処置 (点),手術 (点),麻酔 (点),検査 (点),画像 (点),リハ (点),精神 (点),療担 (点),病理･他 (点)
1月,1616316,894,1807,148,81,269,17,63,7,34,13,0,190,3,0,0,0,69
2月,1861941,758,2455,151,51,287,12,59,5,35,8,0,139,6,0,0,0,6
3月,2359318,663,3557,162,53,193,8,64,6,33,7,0,132,4,0,0,0,2
4月,1989215,711,2796,115,64,245,11,60,10,39,12,0,150,4,0,0,0,1
5月,2194010,740,2966,133,56,254,12,55,6,49,10,0,155,10,0,0,0,0
6月,2056433,768,2679,139,54,255,14,55,7,47,11,0,175,11,0,0,0,0
7月,2015209,796,2533,132,58,277,15,62,5,42,9,0,184,11,0,0,0,0
8月,1521637,739,2058,134,57,212,20,59,9,38,8,0,194,10,0,0,0,0
9月,1930518,791,2442,145,56,246,18,60,5,39,15,0,189,18,0,0,0,0
10月,2055451,770,2670,146,56,231,18,63,11,42,5,0,184,14,0,0,0,0
11月,1819883,718,2535,134,55,224,19,60,9,42,5,0,158,11,0,0,0,0
12月,1870633,734,2549,123,60,229,21,62,5,42,12,0,169,10,0,0,0,0
総数,23290564,750,31047,139,58,242,15,60,7,40,9,0,166,9,0,0,0,5
前年,18418719,873,21088,151,68,292,8,57,10,35,10,0,192,5,0,0,0,45
前年比,126,86,147,92,85,83,188,105,70,114,90,0,86,180,0,0,0,11
