日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(水),0,0,0,0,0,0,0
2日(木),0,0,0,0,0,0,0
3日(金),0,0,0,0,0,0,0
4日(土),0,0,0,0,0,0,0
5日(日),0,0,0,0,0,0,0
6日(月),318,196387,618,1964970,320090,1639500,5380
7日(火),174,103556,595,1035660,173030,862530,100
8日(水),213,124633,585,1273530,228260,1018070,27200
9日(木),0,0,0,0,0,0,0
10日(金),175,96970,554,969700,172510,797190,0
11日(土),185,98791,534,1013410,189560,798350,25500
12日(日),0,0,0,0,0,0,0
13日(月),0,0,0,0,0,0,0
14日(火),239,137795,577,1379950,232690,1145260,2000
15日(水),207,106441,514,1067610,184230,880180,3200
16日(木),0,0,0,0,0,0,0
17日(金),220,111451,507,1117910,206330,908180,3400
18日(土),151,88584,587,885840,176650,698340,10850
19日(日),0,0,0,0,0,0,0
20日(月),221,134033,606,1340530,233720,1106610,200
21日(火),151,72231,478,723310,116880,603080,3350
22日(水),185,98655,533,986550,163770,822780,0
23日(木),0,0,0,0,0,0,0
24日(金),227,124985,551,1249950,245700,1014370,-10120
25日(土),176,95220,541,953300,172670,779530,1100
26日(日),0,0,0,0,0,0,0
27日(月),262,131782,503,1319920,206120,1111700,2100
28日(火),154,77224,501,779340,115610,656630,7100
29日(水),201,110041,547,1100510,157360,947330,-4180
30日(木),0,0,0,0,0,0,0
31日(金),217,121726,561,1217260,184480,1009820,22960
総数,3676,2030505,552,20379250,3479660,16799450,100140
平均,204.2,112805.8,30.7,1132180.6,193314.4,933302.8,5563.3
前月,5028,2480503,493,25770630,3690010,21084540,996080
前月比,73.1,81.9,112.0,79.1,94.3,79.7,10.1
前年同月,3159,1739996,551,17440760,2741960,14648040,50760
前年同月比,116.4,116.7,100.3,116.8,126.9,114.7,197.3
