日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(木),0,0,0,0,0,0,0
2日(金),161,91282,567,912820,125430,787390,0
3日(土),173,101779,588,1017790,97240,907040,13510
4日(日),0,0,0,0,0,0,0
5日(月),202,116316,576,1164160,151990,1024680,-12510
6日(火),178,91679,515,938890,116970,787070,34850
7日(水),201,108984,542,1092340,126690,963150,2500
8日(木),0,0,0,0,0,0,0
9日(金),203,123710,609,1237100,160260,1076840,0
10日(土),172,86593,503,865930,105130,756060,4740
11日(日),0,0,0,0,0,0,0
12日(月),199,106030,533,1060300,115340,940820,4140
13日(火),144,84835,589,849350,119540,728810,1000
14日(水),162,91267,563,912970,119960,792710,300
15日(木),0,0,0,0,0,0,0
16日(金),184,102464,557,1026740,136000,888640,2100
17日(土),137,79610,581,796100,80770,715330,0
18日(日),0,0,0,0,0,0,0
19日(月),165,90792,550,907920,129370,778550,0
20日(火),186,113023,608,1150230,171630,958600,20000
21日(水),154,85934,558,860540,126630,732710,1200
22日(木),0,0,0,0,0,0,0
23日(金),193,120336,624,1204560,151740,1051620,1200
24日(土),161,99573,618,996830,161470,834260,1100
25日(日),0,0,0,0,0,0,0
26日(月),173,110902,641,1119120,174720,940610,3790
27日(火),132,74748,566,751480,121480,620860,9140
28日(水),141,73417,521,734270,102900,637710,-6340
29日(木),0,0,0,0,0,0,0
30日(金),177,102661,580,1027710,150300,876310,1100
総数,3598,2055935,571,20627150,2745560,17799770,81820
平均,171.3,97901.7,27.2,982245.2,130741.0,847608.1,3896.2
前月,3937,2194741,557,21955120,2697760,19231890,25470
前月比,91.4,93.7,102.5,94.0,101.8,92.6,321.2
前年同月,1988,1182495,595,11838910,1584950,10231230,22730
前年同月比,181.0,173.9,96.1,174.2,173.2,174.0,360.0
