月,総診療報酬 (点),レセ単価 (点),レセ枚数 (枚),初診 (点),再診 (点),管理 (点),在宅 (点),投薬 (点),注射 (点),処置 (点),手術 (点),麻酔 (点),検査 (点),画像 (点),リハ (点),精神 (点),療担 (点),病理･他 (点)
1月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10月,896787,865,1037,217,23,225,0,50,0,36,15,0,278,21,0,0,0,0
11月,972743,714,1363,174,41,213,2,58,5,36,8,0,165,12,0,0,0,0
12月,953362,763,1249,150,51,242,6,58,11,38,12,0,188,6,0,0,0,0
総数,2822892,774,3649,178,39,226,3,56,6,37,11,0,205,12,0,0,0,0
前年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
前年比,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
