日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(木),0,0,0,0,0,0,0
2日(金),0,0,0,0,0,0,0
3日(土),0,0,0,0,0,0,0
4日(日),0,0,0,0,0,0,0
5日(月),288,168677,586,1693370,281110,1359060,53200
6日(火),174,101265,582,1022450,175960,825370,21120
7日(水),169,99154,587,991740,181490,810050,200
8日(木),0,0,0,0,0,0,0
9日(金),186,110606,595,1106060,212220,901220,-7380
10日(土),170,100410,591,1007200,187490,813090,6620
11日(日),0,0,0,0,0,0,0
12日(月),0,0,0,0,0,0,0
13日(火),221,126930,574,1271400,196840,1048590,25970
14日(水),179,99139,554,996590,152600,838790,5200
15日(木),0,0,0,0,0,0,0
16日(金),211,111449,528,1127590,190820,923670,13100
17日(土),161,91638,569,916380,193580,722800,0
18日(日),0,0,0,0,0,0,0
19日(月),195,126651,649,1266710,242830,1030060,-6180
20日(火),189,95385,505,954950,141750,825270,-12070
21日(水),194,106503,549,1065030,162680,902350,0
22日(木),0,0,0,0,0,0,0
23日(金),196,115720,590,1157200,191550,965650,0
24日(土),200,116975,585,1169750,192940,976810,0
25日(日),0,0,0,0,0,0,0
26日(月),236,123771,524,1237910,174370,1061980,1560
27日(火),172,105537,614,1061970,163010,897860,1100
28日(水),196,115332,588,1156420,200110,964640,-8330
29日(木),0,0,0,0,0,0,0
30日(金),235,133675,569,1336750,230140,1116070,-9460
31日(土),195,100182,514,1002820,156660,842000,4160
総数,3767,2148999,570,21542290,3628150,17825330,88810
平均,198.3,113105.2,30.0,1133804.7,190955.3,938175.3,4674.2
前月,3744,1987638,531,20371100,3398400,16428060,544640
前月比,100.6,108.1,107.5,105.7,106.8,108.5,16.3
前年同月,3676,2030505,552,20379250,3479660,16799450,100140
前年同月比,102.5,105.8,103.3,105.7,104.3,106.1,88.7
