日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(木),0,0,0,0,0,0,0,0
2日(金),191,36,37,118,0,0,18.8,38.2
3日(土),163,24,35,104,0,0,14.7,36.2
4日(日),0,0,0,0,0,0,0,0
5日(月),215,40,49,126,0,0,18.6,41.4
6日(火),176,36,38,102,0,0,20.5,42.0
7日(水),160,37,24,99,0,0,23.1,38.1
8日(木),0,0,0,0,0,0,0,0
9日(金),182,42,39,101,0,0,23.1,44.5
10日(土),176,28,44,104,0,0,15.9,40.9
11日(日),0,0,0,0,0,0,0,0
12日(月),203,37,41,125,0,0,18.2,38.4
13日(火),144,25,31,88,0,0,17.4,38.9
14日(水),133,29,21,83,0,0,21.8,37.6
15日(木),0,0,0,0,0,0,0,0
16日(金),178,36,38,104,0,0,20.2,41.6
17日(土),158,21,36,101,0,0,13.3,36.1
18日(日),0,0,0,0,0,0,0,0
19日(月),194,40,41,113,0,0,20.6,41.8
20日(火),163,33,31,99,0,0,20.2,39.3
21日(水),153,38,35,80,0,0,24.8,47.7
22日(木),0,0,0,0,0,0,0,0
23日(金),210,36,19,155,0,0,17.1,26.2
24日(土),122,16,24,82,0,0,13.1,32.8
25日(日),0,0,0,0,0,0,0,0
26日(月),240,41,45,154,0,0,17.1,35.8
27日(火),207,50,34,123,0,0,24.2,40.6
28日(水),94,13,22,59,0,0,13.8,37.2
29日(木),0,0,0,0,0,0,0,0
30日(金),0,0,0,0,0,0,0,0
31日(土),0,0,0,0,0,0,0,0
総数,3462,658,684,2120,0,0,19.0,38.8
平均,173.1,32.9,34.2,106.0,0.0,0.0,19.0,38.8
前月,3881,768,950,2163,0,0,19.8,44.3
前月比,89.2,85.7,72.0,98.0,0.0,0.0,96.0,87.6
前年同月,1958,716,264,978,0,0,36.6,50.1
前年同月比,176.8,91.9,259.1,216.8,0.0,0.0,52.0,77.4
