日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(月),238,45,63,130,0,0,18.9,45.4
2日(火),172,34,39,99,0,0,19.8,42.4
3日(水),187,33,40,114,0,0,17.6,39.0
4日(木),0,0,0,0,0,0,0,0
5日(金),242,36,64,142,0,0,14.9,41.3
6日(土),215,34,41,140,0,0,15.8,34.9
7日(日),0,0,0,0,0,0,0,0
8日(月),199,26,47,126,0,0,13.1,36.7
9日(火),153,25,35,93,0,0,16.3,39.2
10日(水),175,42,36,97,0,0,24.0,44.6
11日(木),0,0,0,0,0,0,0,0
12日(金),214,30,47,137,0,0,14.0,36.0
13日(土),176,27,30,119,0,0,15.3,32.4
14日(日),0,0,0,0,0,0,0,0
15日(月),256,33,72,151,0,0,12.9,41.0
16日(火),183,29,44,110,0,0,15.8,39.9
17日(水),184,31,44,109,0,0,16.8,40.8
18日(木),0,0,0,0,0,0,0,0
19日(金),236,29,58,149,0,0,12.3,36.9
20日(土),215,29,48,138,0,0,13.5,35.8
21日(日),0,0,0,0,0,0,0,0
22日(月),277,49,72,156,0,0,17.7,43.7
23日(火),191,37,40,114,0,0,19.4,40.3
24日(水),199,23,51,125,0,0,11.6,37.2
25日(木),0,0,0,0,0,0,0,0
26日(金),282,47,57,178,0,0,16.7,36.9
27日(土),220,26,42,152,0,0,11.8,30.9
28日(日),0,0,0,0,0,0,0,0
29日(月),0,0,0,0,0,0,0,0
30日(火),327,56,69,202,0,0,17.1,38.2
総数,4541,721,1039,2781,0,0,15.9,38.8
平均,216.2,34.3,49.5,132.4,0.0,0.0,15.9,38.8
前月,4633,738,1285,2610,0,0,15.9,43.7
前月比,98.0,97.7,80.9,106.6,0.0,0.0,99.7,88.8
前年同月,3633,746,613,2274,0,0,20.5,37.4
前年同月比,125.0,96.6,169.5,122.3,0.0,0.0,77.3,103.6
