日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(水),295,55,61,179,0,0,18.6,39.3
2日(木),0,0,0,0,0,0,0,0
3日(金),0,0,0,0,0,0,0,0
4日(土),0,0,0,0,0,0,0,0
5日(日),0,0,0,0,0,0,0,0
6日(月),0,0,0,0,0,0,0,0
7日(火),299,60,61,178,0,0,20.1,40.5
8日(水),231,28,55,148,0,0,12.1,35.9
9日(木),0,0,0,0,0,0,0,0
10日(金),262,45,66,151,0,0,17.2,42.4
11日(土),211,30,69,112,0,0,14.2,46.9
12日(日),0,0,0,0,0,0,0,0
13日(月),250,52,69,129,0,0,20.8,48.4
14日(火),192,35,48,109,0,0,18.2,43.2
15日(水),195,32,41,122,0,0,16.4,37.4
16日(木),0,0,0,0,0,0,0,0
17日(金),232,41,62,129,0,0,17.7,44.4
18日(土),181,36,46,99,0,0,19.9,45.3
19日(日),0,0,0,0,0,0,0,0
20日(月),294,56,88,150,0,0,19.0,49.0
21日(火),171,34,35,102,0,0,19.9,40.4
22日(水),174,44,40,90,0,0,25.3,48.3
23日(木),0,0,0,0,0,0,0,0
24日(金),243,32,46,165,0,0,13.2,32.1
25日(土),200,34,52,114,0,0,17.0,43.0
26日(日),0,0,0,0,0,0,0,0
27日(月),272,52,74,146,0,0,19.1,46.3
28日(火),141,24,39,78,0,0,17.0,44.7
29日(水),178,29,49,100,0,0,16.3,43.8
30日(木),0,0,0,0,0,0,0,0
31日(金),280,65,66,149,0,0,23.2,46.8
総数,4301,784,1067,2450,0,0,18.2,43.0
平均,226.4,41.3,56.2,128.9,0.0,0.0,18.2,43.0
前月,4541,721,1039,2781,0,0,15.9,38.8
前月比,94.7,108.7,102.7,88.1,0.0,0.0,114.8,111.0
前年同月,3936,871,744,2321,0,0,22.1,41.0
前年同月比,109.3,90.0,143.4,105.6,0.0,0.0,82.4,104.9
