日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(水),207,24,66,117,0,0,11.6,43.5
2日(木),0,0,0,0,0,0,0,0
3日(金),0,0,0,0,0,0,0,0
4日(土),196,29,51,116,0,0,14.8,40.8
5日(日),0,0,0,0,0,0,0,0
6日(月),210,33,76,101,0,0,15.7,51.9
7日(火),203,17,56,130,0,0,8.4,36.0
8日(水),207,25,71,111,0,0,12.1,46.4
9日(木),0,0,0,0,0,0,0,0
10日(金),180,24,51,105,0,0,13.3,41.7
11日(土),178,21,54,103,0,0,11.8,42.1
12日(日),0,0,0,0,0,0,0,0
13日(月),197,24,57,116,0,0,12.2,41.1
14日(火),181,25,58,98,0,0,13.8,45.9
15日(水),197,22,83,92,0,0,11.2,53.3
16日(木),0,0,0,0,0,0,0,0
17日(金),189,29,47,113,0,0,15.3,40.2
18日(土),180,22,47,111,0,0,12.2,38.3
19日(日),0,0,0,0,0,0,0,0
20日(月),199,25,61,113,0,0,12.6,43.2
21日(火),203,16,65,122,0,0,7.9,39.9
22日(水),196,23,59,114,0,0,11.7,41.8
23日(木),0,0,0,0,0,0,0,0
24日(金),186,25,56,105,0,0,13.4,43.5
25日(土),172,16,60,96,0,0,9.3,44.2
26日(日),0,0,0,0,0,0,0,0
27日(月),201,27,46,128,0,0,13.4,36.3
28日(火),206,29,53,124,0,0,14.1,39.8
29日(水),213,30,74,109,0,0,14.1,48.8
30日(木),0,0,0,0,0,0,0,0
総数,3901,486,1191,2224,0,0,12.5,43.0
平均,195.1,24.3,59.5,111.2,0.0,0.0,12.5,43.0
前月,3946,616,1194,2136,0,0,15.6,45.9
前月比,98.9,78.9,99.7,104.1,0.0,0.0,79.8,93.7
前年同月,3881,768,950,2163,0,0,19.8,44.3
前年同月比,100.5,63.3,125.4,102.8,0.0,0.0,63.0,97.1
