日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(火),165,80863,490,809630,132190,673780,3660
2日(水),223,106879,479,1069290,168900,899890,500
3日(木),0,0,0,0,0,0,0
4日(金),234,124559,532,1245790,198600,1046990,200
5日(土),161,81187,504,812970,134320,664170,14480
6日(日),0,0,0,0,0,0,0
7日(月),255,141814,556,1418440,259570,1158570,300
8日(火),163,93539,574,935490,124750,783140,27600
9日(水),189,88254,467,882540,114310,781990,-13760
10日(木),0,0,0,0,0,0,0
11日(金),185,97703,528,977430,161210,815820,400
12日(土),179,86100,481,861100,146140,686940,28020
13日(日),0,0,0,0,0,0,0
14日(月),259,147392,569,1473920,221510,1227990,24420
15日(火),158,83815,530,838150,131260,706290,600
16日(水),200,103948,520,1039580,162500,875100,1980
17日(木),0,0,0,0,0,0,0
18日(金),182,102550,563,1028600,167980,857490,3130
19日(土),192,89111,464,891110,122330,779940,-11160
20日(日),0,0,0,0,0,0,0
21日(月),268,147997,552,1483270,207030,1272940,3300
22日(火),161,94790,589,947900,108770,838890,240
23日(水),215,102194,475,1022040,161590,847450,13000
24日(木),0,0,0,0,0,0,0
25日(金),199,102563,515,1029630,191220,835310,3100
26日(土),196,96046,490,960560,143990,816470,100
27日(日),0,0,0,0,0,0,0
28日(月),353,185024,524,1850540,259210,1598810,-7480
29日(火),0,0,0,0,0,0,0
30日(水),0,0,0,0,0,0,0
総数,4137,2156328,521,21577980,3317380,18167970,92630
平均,206.8,107816.4,26.1,1078899.0,165869.0,908398.5,4631.5
前月,5432,2760416,508,27649160,4097810,23485660,65690
前月比,76.2,78.1,102.6,78.0,81.0,77.4,141.0
前年同月,4541,2181170,480,21827300,3347630,18462020,17650
前年同月比,91.1,98.9,108.5,98.9,99.1,98.4,524.8
