日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(水),120,44,15,61,0,0,36.7,49.2
2日(木),0,0,0,0,0,0,0,0
3日(金),111,49,18,44,0,0,44.1,60.4
4日(土),107,33,12,62,0,0,30.8,42.1
5日(日),0,0,0,0,0,0,0,0
6日(月),136,46,17,73,0,0,33.8,46.3
7日(火),106,45,8,53,0,0,42.5,50.0
8日(水),119,44,12,63,0,0,37.0,47.1
9日(木),0,0,0,0,0,0,0,0
10日(金),122,48,10,64,0,0,39.3,47.5
11日(土),0,0,0,0,0,0,0,0
12日(日),0,0,0,0,0,0,0,0
13日(月),130,50,12,68,0,0,38.5,47.7
14日(火),87,32,12,43,0,0,36.8,50.6
15日(水),93,32,10,51,0,0,34.4,45.2
16日(木),0,0,0,0,0,0,0,0
17日(金),100,30,14,56,0,0,30.0,44.0
18日(土),76,27,11,38,0,0,35.5,50.0
19日(日),0,0,0,0,0,0,0,0
20日(月),101,34,16,51,0,0,33.7,49.5
21日(火),58,20,3,35,0,0,34.5,39.7
22日(水),91,32,11,48,0,0,35.2,47.3
23日(木),0,0,0,0,0,0,0,0
24日(金),87,33,8,46,0,0,37.9,47.1
25日(土),89,19,24,46,0,0,21.3,48.3
26日(日),0,0,0,0,0,0,0,0
27日(月),111,30,20,61,0,0,27.0,45.0
28日(火),63,18,6,39,0,0,28.6,38.1
29日(水),81,26,13,42,0,0,32.1,48.1
30日(木),0,0,0,0,0,0,0,0
総数,1988,692,252,1044,0,0,34.8,47.5
平均,99.4,34.6,12.6,52.2,0.0,0.0,34.8,47.5
前月,2467,881,280,1306,0,0,35.7,47.1
前月比,80.6,78.5,90.0,79.9,0.0,0.0,97.5,100.9
前年同月,0,0,0,0,0,0,0.0,0.0
前年同月比,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
