日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(月),0,0,0,0,0,0,0
2日(火),0,0,0,0,0,0,0
3日(水),0,0,0,0,0,0,0
4日(木),0,0,0,0,0,0,0
5日(金),294,165684,564,1657040,217200,1439640,200
6日(土),166,96233,580,963430,160290,802040,1100
7日(日),0,0,0,0,0,0,0
8日(月),0,0,0,0,0,0,0
9日(火),188,109258,581,1093580,204940,887640,1000
10日(水),166,85469,515,856690,146320,708370,2000
11日(木),0,0,0,0,0,0,0
12日(金),173,101494,587,1014940,180560,834380,0
13日(土),159,86795,546,868050,160600,707350,100
14日(日),0,0,0,0,0,0,0
15日(月),161,85714,532,857240,119660,737480,100
16日(火),150,79850,532,800500,129560,668940,2000
17日(水),0,0,0,0,0,0,0
18日(木),0,0,0,0,0,0,0
19日(金),217,111980,516,1119900,175630,944170,100
20日(土),149,73534,494,735340,107990,625190,2160
21日(日),0,0,0,0,0,0,0
22日(月),176,107250,609,1073500,180070,894590,-1160
23日(火),147,84509,575,845190,144750,689130,11310
24日(水),111,55243,498,557030,86620,450460,19950
25日(木),0,0,0,0,0,0,0
26日(金),178,96248,541,965480,146710,824980,-6210
27日(土),175,111323,636,1115230,166090,942930,6210
28日(日),0,0,0,0,0,0,0
29日(月),183,91987,503,943270,131860,784260,27150
30日(火),174,93710,539,937200,131010,817320,-11130
31日(水),192,103715,540,1037150,152100,889170,-4120
総数,3159,1739996,551,17440760,2741960,14648040,50760
平均,175.5,96666.4,30.6,968931.1,152331.1,813780.0,2820.0
前月,3793,1870861,493,19913610,2617931,16072629,1223050
前月比,83.3,93.0,111.7,87.6,104.7,91.1,4.2
前年同月,2450,1616673,660,16225830,2031880,14101780,92170
前年同月比,128.9,107.6,83.5,107.5,134.9,103.9,55.1
