日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(月),186,111107,597,1116570,204810,911070,690
2日(火),146,76807,526,768070,126150,641920,0
3日(水),147,74492,507,744940,101770,643070,100
4日(木),0,0,0,0,0,0,0
5日(金),166,90075,543,900850,165190,737670,-2010
6日(土),142,77305,544,776050,118110,654940,3000
7日(日),0,0,0,0,0,0,0
8日(月),180,95472,530,954820,138360,816360,100
9日(火),165,86832,526,869420,136320,727520,5580
10日(水),158,74672,473,746720,131390,619810,-4480
11日(木),0,0,0,0,0,0,0
12日(金),170,79399,467,798090,101340,692650,4100
13日(土),159,87264,549,872640,133390,739250,0
14日(日),0,0,0,0,0,0,0
15日(月),0,0,0,0,0,0,0
16日(火),247,131359,532,1318790,199220,1109550,10020
17日(水),157,82314,524,828240,137012,670388,20840
18日(木),0,0,0,0,0,0,0
19日(金),212,113713,536,1140530,183380,971390,-14240
20日(土),169,91127,539,911200,138190,772910,100
21日(日),0,0,0,0,0,0,0
22日(月),231,130143,563,1301830,203480,1097950,400
23日(火),0,0,0,0,0,0,0
24日(水),198,105398,532,1054980,185370,869570,40
25日(木),0,0,0,0,0,0,0
26日(金),207,109524,529,1098240,180428,889652,28160
27日(土),158,96107,608,961170,163840,797230,100
28日(日),0,0,0,0,0,0,0
29日(月),223,125526,563,1261660,216460,1038800,6400
30日(火),170,90208,531,908580,127400,799840,-18660
総数,3591,1928844,537,19333390,3091610,16201540,40240
平均,179.6,96442.2,26.9,966669.5,154580.5,810077.0,2012.0
前月,3133,1741147,556,17439690,2958620,14414940,66130
前月比,114.6,110.8,96.7,110.9,104.5,112.4,60.8
前年同月,3451,1802085,522,18043250,2676863,15299267,67120
前年同月比,104.1,107.0,102.9,107.2,115.5,105.9,60.0
