日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(金),175,99502,569,997020,184520,810500,2000
2日(土),133,82829,623,828290,132370,695920,0
3日(日),0,0,0,0,0,0,0
4日(月),163,100588,617,1007880,162470,843410,2000
5日(火),133,77848,585,779580,119980,656160,3440
6日(水),135,81395,603,814950,132450,677360,5140
7日(木),0,0,0,0,0,0,0
8日(金),165,100631,610,1007410,165900,844860,-3350
9日(土),118,64478,546,647880,94900,540770,12210
10日(日),0,0,0,0,0,0,0
11日(月),168,109860,654,1111700,151260,947340,13100
12日(火),139,89259,642,892590,124050,761980,6560
13日(水),159,96755,609,992550,137470,830080,25000
14日(木),0,0,0,0,0,0,0
15日(金),183,112778,616,1130780,164370,951370,15040
16日(土),151,89284,591,892840,99790,793050,0
17日(日),0,0,0,0,0,0,0
18日(月),0,0,0,0,0,0,0
19日(火),199,124208,624,1243080,172590,1069490,1000
20日(水),178,95624,537,956240,119880,836360,0
21日(木),0,0,0,0,0,0,0
22日(金),162,96083,593,960830,122020,852940,-14130
23日(土),0,0,0,0,0,0,0
24日(日),0,0,0,0,0,0,0
25日(月),189,115113,609,1153130,146150,1009120,-2140
26日(火),168,97820,582,978200,140200,838000,0
27日(水),162,89994,556,900940,119910,772240,8790
28日(木),0,0,0,0,0,0,0
29日(金),168,114371,681,1143810,180960,970540,-7690
30日(土),143,92090,644,920900,123910,796990,0
総数,3191,1930510,605,19360600,2795150,16498480,66970
平均,159.6,96525.5,30.2,968030.0,139757.5,824924.0,3348.5
前月,2549,1522333,597,15262530,2401742,12800378,60410
前月比,125.2,126.8,101.3,126.9,116.4,128.9,110.9
前年同月,2268,1479113,652,14809160,1821260,12954550,33350
前年同月比,140.7,130.5,92.8,130.7,153.5,127.4,200.8
