日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(水),207,94922,459,1050220,138110,806730,105380
2日(木),0,0,0,0,0,0,0
3日(金),0,0,0,0,0,0,0
4日(土),196,89062,454,996520,101250,785230,110040
5日(日),0,0,0,0,0,0,0
6日(月),210,110091,524,1158310,143050,957860,57400
7日(火),203,86844,428,953940,132980,735460,85500
8日(水),207,84714,409,969840,137430,709710,122700
9日(木),0,0,0,0,0,0,0
10日(金),180,93186,518,1006660,125690,806170,74800
11日(土),178,72395,407,828650,115510,608440,104700
12日(日),0,0,0,0,0,0,0
13日(月),197,92514,470,984740,110510,800480,73750
14日(火),181,77636,429,898060,106510,667740,123810
15日(水),197,88002,447,1008120,109280,770740,128100
16日(木),0,0,0,0,0,0,0
17日(金),189,93750,496,987600,134250,813280,40070
18日(土),180,86149,479,958590,119360,742130,97100
19日(日),0,0,0,0,0,0,0
20日(月),199,98259,494,1032690,118110,872740,41840
21日(火),203,93403,460,1039430,131010,803020,105400
22日(水),196,89951,459,993010,91230,808280,93500
23日(木),0,0,0,0,0,0,0
24日(金),186,101904,548,1073540,144010,871270,58260
25日(土),172,72946,424,831960,114080,619140,98740
26日(日),0,0,0,0,0,0,0
27日(月),201,92945,462,988250,108190,816810,63250
28日(火),206,98289,477,1072290,157450,825440,89400
29日(水),213,103067,484,1138470,157140,873530,107800
30日(木),0,0,0,0,0,0,0
総数,3901,1820029,467,19970890,2495150,15694200,1781540
平均,195.1,91001.4,23.3,998544.5,124757.5,784710.0,89077.0
前月,3946,2054914,521,21501840,2769100,17773600,959140
前月比,98.9,88.6,89.6,92.9,90.1,88.3,185.7
前年同月,3881,2032871,524,22695554,2281540,17999060,2414954
前年同月比,100.5,89.5,89.1,88.0,109.4,87.2,73.8
